,keywords
53,"saving the world,riddle,whip,treasure,mexico city,leather jacket,machinegun,alien phenomenons,maya civilization,peru,treasure hunt,nuclear explosion,refrigerator,archaeologist,indiana jones,archeology "
54,"tyrannosaurus rex,friends,alternate history,dinosaur,fear,storm,nature,human,journey"
55,"scotland,rebel,bravery,kingdom,archer,wish,bear,scot,rebellious daughter,turns into animal,archery,ruins,aftercreditsstinger,peace offering,woman director,courage,3d"
56,"sequel,stranded,hatred,space opera"
57,romantic comedy
58,ambassador
59,"civilization,natural disaster,end of the world,disaster,apocalypse,destruction,volcanic eruption,mayan,ark,solar,destruction  of mankind"
60,"holiday,based on novel,victorian england,money,christmas eve,scrooge,christmas carol,ghost,lesson,charles dickens,christmas"
61,"jupiter,space,woman director,3d,interspecies romance"
62,"africa,feral child,tarzan,jungle,animal attack"
63,"saving the world,witch,based on novel,brother sister relationship,self sacrifice,winter,cupboard,beaver,lion,fairy-tale figure,battle,narnia,fantasy world,duringcreditsstinger"
64,"mutant,supernatural powers,marvel comic,superhero,based on comic book,superhuman,apocalypse,superhero team,world domination,aftercreditsstinger,1980s"
65,"dc comics,crime fighter,secret identity,scarecrow,sadism,chaos,gotham city,vigilante,joker,superhero,based on comic book,tragic hero,organized crime,criminal mastermind,district attorney,imax,super villain,super powers,batman"
66,"age difference,central and south america,balloon,animation,floating in the air,duringcreditsstinger,exploring"
67,"alien,giant robot,duringcreditsstinger"
68,"middle east,arms dealer,malibu,marvel comic,superhero,based on comic book,tony stark,iron man,aftercreditsstinger,marvel cinematic universe,counter terrorism,agent coulson"
69,"library,clock,film director,key,toy,boy,love,orphan,robot,automaton,hiding,filmmaking,leg brace,doberman,3d"
70,"steampunk,based on tv series,steam locomotive,drag"
71,
72,"dc comics,shared universe,anti hero,secret mission,villain,superhero,supervillain,dc extended universe"
73,"father son relationship,daily life,married couple,support,father,marriage,faith,baustelle,rescue,animal,nature,duringcreditsstinger,noah's ark"
74,"deja vu,time warp,restart,dystopia,war,alien,military officer,soldier,alien invasion,exoskeleton"
75,"ocean,tattoo,mutant,water,dystopia,doomsday"
76,"terrorist,secret,hostage,technology,warhead,government,president,revenge,murder,attack,explosion,scientist,lasers,evil,cobra"
77,"dream,cartoon,imaginary friend,animation,family,moving,kids,unicorn,duringcreditsstinger,3d,emotions"
78,"based on novel,snake,wolf,elephant,tiger,feral child,panther,remake,bear,jungle,talking animal,orphan,animal,talking to animals"
79,"malibu,marvel comic,superhero,based on comic book,revenge,aftercreditsstinger,marvel cinematic universe"
80,"queen,magic,fairy tale,immortality,forest,deception,woman,eternal youth,snow white,evil queen,evil stepmother,imprisoned,sorceress"
81,"fairy tale,villain,sleeping beauty,dark fantasy,based on fairy tale,adaptation,retelling,literary adaptation,3d"
82,"leader,colony,post-apocalyptic,dystopia,forest,sequel,woods,ape,scientist,monkey,medical research,animal attack,plague,3d"
83,
84,"japan,suicide,samurai,based on true story,samurai sword,ronin,shogun,half breed,3d"
85,"washington d.c.,future,shield,marvel comic,superhero,based on comic book,captain america,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe,3d,political thriller"
86,"ogre,3d"
87,"inventor,apocalypse,destiny,imax,dreamer,futuristic car,futuristic city"
88,"brother brother relationship,hero,talent,revenge,best friend,another dimension,robot,boy genius,hate,aftercreditsstinger,moral dilemma,3d,teen superheroes,dead brother"
89,"support group,product placement,bullying,racing,arcade,medal,self esteem,curiosity,precocious child,aftercreditsstinger,duringcreditsstinger,first person shooter,glitch,carefree,video gamer,q*bert,interrupted wedding,social reject"
90,"santa claus,nerd,faith,gift,bell,beard,north pole,chute,trestle,ticket,christmas"
91,"alternate history,alien invasion"
92,"flying,blacksmith,arena,island,night,ship,training,village,forest,viking,friendship,ignorance,flight,nest,dragon,battle,combat,well,warrior"
93,"saving the world,artificial intelligence,man vs machine,cyborg,killer robot,sun glasses,leather jacket,nanotechnology,rocket launcher,firemen,veterinarian,fire engine,dystopia,psychiatrist"
94,"marvel comic,spaceship,space,outer space,orphan,adventurer,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe"
95,"saving the world,artificial intelligence,father son relationship,single parent,nasa,expedition,wormhole,space travel,famine,black hole,dystopia,race against time,quantum mechanics,spaceship,space,rescue,family relationships,farmhouse,robot,astronaut,scientist,father daughter relationship,single father,farmer,space station,imax,astrophysics,zero gravity,courage,time paradox,relativity"
96,"loss of lover,dream,kidnapping,sleep,subconsciousness,heist,redemption,female hero"
97,"monster,godzilla,giant monster,destruction,kaiju,toyko"
98,"riddle,elves,dwarves,orcs,middle-earth (tolkien),hobbit,mountains,wizard,journey,ring,goblin,courage,giant,tunnel,underground lake,buried treasure,climbing a tree,invisibility,ancient,gnomes"
99,"street gang,car race,undercover,auto-tuning,los angeles,car,automobile racing,aftercreditsstinger,duringcreditsstinger"
100,"diary,navy,funeral,tea,travel,hospital"
101,"cia,mutant,mine,marvel comic,superhero,based on comic book,superhuman,historical fiction,nuclear war,cuban missile crisis,world war iii,1960s"
102,"revolution,strong woman,dystopia,game of death,3d,based on young adult novel"
103,"witch,fire,wolf,fountain,magic,book,castle,water,apprentice,training,merlin,love,mission,sorcerer,dragon,aftercreditsstinger,apprendista,morgana"
104,"new year's eve,fire,drowning,cataclysm,loss of father,atlantic ocean,ball,self-abandonment,shipwreck,giant wave,blackout,ship,daughter,single,escape,capsized ship"
105,"based on novel,clock,queen,sequel,alice in wonderland,dark fantasy,mad hatter,3d"
106,"ambush,sadness,stage,liberation of prisoners,island,traitor,shipwreck,prince,ship,donkey,kingdom,theatre play,transformation,conciliation,tricks,heir to the throne,assault,boarding school,coup d'etat,teacher,best friend,dragon,cowardliness,pregnancy,capture,duringcreditsstinger"
107,"video game,elves,orcs,magic,chase,based on comic book,sorcerer,fictional war,based on video game,wizard,fictional language,muscles,orc,sword and sorcery"
108,"saving the world,artificial intelligence,cyborg,killer robot,future,time travel,dystopia,sequel,fiction,duringcreditsstinger,3d"
109,"based on novel,magic,good vs evil,king,narnia,fantasy world,knife held to throat,snowing,quest"
110,"nurse,patriotism,hawaii,world war ii,pilot,pearl harbor,u.s. air force,airplane,war,army,love,pin-up"
111,"destroy,transformation,alien,based on toy,transformers,robot,duringcreditsstinger,teenage hero"
112,"aristotle,egypt,greece,persia,elephant,campaign,alexander the great,homosexuality,gay relationship,ancient world"
113,"prophecy,witch,loss of lover,magic,cutting the cord,child hero,dying and death,broom,sorcerer's apprentice,school of witchcraft,black magic,death of a friend,sorcery,occultism"
114,"magic,dying and death,broom,sorcerer's apprentice,school of witchcraft,chosen one,black magic,boarding school,vision,tournament,teenager,wizard,teenage hero,based on young adult novel"
115,"flying,alcohol,love of one's life,forbidden love,lovers,affection,advertising expert,alcoholism,invulnerability,superhero,pokies,duringcreditsstinger"
116,"saving the world,lost civilisation,post-apocalyptic,dystopia,matter of life and death,alone,helplessness,virus,pandemic"
117,"london england,father son relationship,chocolate,factory worker,based on novel,parents kids relationship,candy,overweight child,grandfather grandson relationship,teacher"
118,"paris,brother brother relationship,expensive restaurant,river,cook,mouse,confidence,roof,window,leaving one's family,work,restaurant critic,kitchen,spice,court,cookbook,family,chef,rat"
119,"himalaya,martial arts,dc comics,crime fighter,secret identity,undercover,hero,loss of father,society,gotham city,vigilante,superhero,based on comic book,rivalry,tragic hero,ninja,good vs evil,crime,super powers,haunted by the past,evil doctor,escapade,master villain,fighting crime,unfulfillment,love and romance,unfulfilled love"
120,"africa,jealousy,dance,hunger,lion,zoo,hippopotamus,chimp,penguin,volcano,madagascar,airplane,zebra,sequel,shark,imax,duringcreditsstinger"
121,"museum,theodore roosevelt,duringcreditsstinger,amelia earhart,smithsonian"
122,"corruption,mutant,boxer,army,marvel comic,superhero,aftercreditsstinger,duringcreditsstinger"
123,"saving the world,artificial intelligence,man vs machine,flying,philosophy,fortune teller,kung fu,underground world,killer robot,temple,subway,dream,sun,hero,fight,sunlight,computer virus,key,future,precognition,super computer,machine town,ying yang,dying and death,virtual reality,dystopia,computer,faith,world religion,truth,rescue,mission,cyberpunk,woman director,yin yang,gnosticism"
124,"queen,musical,princess,betrayal,snowman,animation,reindeer,curse,snow,troll,mountain climber,aftercreditsstinger,woman director,3d"
125,"saving the world,artificial intelligence,man vs machine,martial arts,kung fu,underground world,dream,hero,fight,computer virus,key,future,plato,precognition,rave,dying and death,virtual reality,dystopia,computer,faith,world religion,truth,mission,cyberpunk,woman director,gnosticism"
126,"marvel comic,superhero,based on comic book,hostile takeover,norse mythology,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe,3d,asgard"
127,"future,chase,post-apocalyptic,dystopia,australia,rescue,survival,on the run,convoy,peak oil,dark future"
128,"rome,vatican,based on novel,symbolism,christian,illuminati,quantum mechanics,prequel,anti matter,conspiracy,investigator,catholicism,cern"
129,"new mexico,banishment,shield,marvel comic,hammer,superhero,based on comic book,redemption,norse mythology,aftercreditsstinger,marvel cinematic universe,3d,asgard,odin,heimdall"
130,"hamster,kids and family,animal,cat vs dog,duringcreditsstinger,dog cat friendship,animal lead,girl dog relationship"
131,"dyr,duringcreditsstinger"
132,"underworld,hades,mythology,greek mythology,zeus,perseus,gods,ancient greece,based on greek myth,ares,3d"
133,"witch,imprisonment,vampire,curse,fish out of water,chains,gothic,madness,old house,lost love,angry mob,18th century,ghost,hidden room,old mansion"
134,"london england,spy,austria,villain,sequel,mission,conspiracy,vienna opera,vienna"
135,"father son relationship,victorian england,remake,rural setting,werewolf"
136,"factory worker,tennis,flower,florist,flower shop,pilot,college,airplane,beehive,court,aftercreditsstinger"
137,"martial arts,hope,fleet,panda,mission,woman director"
138,"fire,ice,war ship,prince,kingdom,water,village,arrest,remake,attack,avatar,air,spirit,world,domination,cheering"
139,"berlin,cia,vatican,white house,secret identity,secret,explosive,mobile phone,map,traitor,mask,honeymoon,shanghai,pretended murder,secret mission,letter,funeral,covered investigation,to shoot dead,secret agent,video,stamp,hard drive,e-mail,decipherment,suitcase,computer,revenge,murder,mission,hospital,duel,disguise,celebration,good and bad,research laboratory,blast"
140,"usa president,conspiracy,secret service,the white house"
141,"boy,alien,rescue,martian,alien abduction,alien invasion,based on children's book,duringcreditsstinger"
142,"london england,underworld,return,ship,frog,girlfriend,rubin"
143,"flying,magic,fairy tale,peter pan,mermaid,pirate,fantasy world"
144,"father son relationship,egypt,intelligence,adoption,time travel,boy,child prodigy,friendship,growing up,children,talking animal,talking dog,dog,first love,ancient egypt,time traveler,duringcreditsstinger,new school,george washington,gags,trouble,time paradox,prodigy"
145,"brother brother relationship,adultery,mythology,beauty,trojan war,bravery,wall,fraud,hostility,epic,sword fight,battlefield,ancient world,pyre,ancient greece,trojan horse,trojan,bronze age,sparta greece,helen of troy,homer's iliad"
146,"madagascar,3d"
147,"laser,british secret service,secret service agent,space based weapon"
148,"female friendship,ghost hunting,reboot,ghost"
149,"saving the world,paris,moon,cataclysm,asteroid,self sacrifice,nasa,space marine,loss of father,daughter,space,wedding,astronaut,eiffel tower paris,duringcreditsstinger,disaster movie,space centre"
150,"saving the world,secret identity,sun glasses,undercover,space marine,illegal immigration,deportation,new identity,flying saucer,light,firearm,alien,fictional government agency"
151,"denmark,nordic mythology,lie,pride and vanity,folk hero,human weakness,viking,alienation,festival hall,sin,royalty,curse,battle,ancient world,adult animation,motion capture"
152,"china,martial arts,kung fu,village,panda,sequel,talking animal,anthropomorphism,dragon,ancient china,wuxia,woman director"
153,"fight,sequel,mission,explosion,broken arm,imax,nuclear threat"
154,"dream,santa claus,nightmare,easter bunny,tooth fairy,jack frost,sandman,duringcreditsstinger"
155,"based on novel,desperation,robber,hold-up robbery,remake,suburbia,loss of job,humiliation,unemployment,bankruptcy,travel agent,riches to rags,bearer bonds,comeuppance"
156,"japan,war crimes,sense of guilt,swordplay,general,samurai,war veteran,katana,sword,arms deal,homeland,emperor,language barrier,self-discovery,mountain village,foreign legion,mercenary,campaign,commercial agreement,insurgence,leader,war strategy,gettysburg,loss of husband,slaughter,soldier,alcoholic,u.s. soldier,japanese army,19th century,war trauma"
157,"moses,bible,ancient egypt,3d,ramses"
158,"spacecraft,teleportation,space mission,parachute,time travel,black hole,supernova,prequel,warp speed,futuristic,warp engine,romulans,outer space,vulcan,alternate reality,space opera,reboot"
159,"loss of lover,spider,thanksgiving,bad boss,hostility,marvel comic,superhero,pokies,evil,reference to superman,goblin"
160,"father son relationship,wife husband relationship,sacrifice,viking,sequel,rescue,dragon,mother son relationship,death of husband,warrior,3d"
161,"egypt,underworld,fight,mythology,nile,war,thief,rescue,desert,gods,egyptian mythology,egyptian,myth"
162,"artificial intelligence,u.s. navy,aftercreditsstinger"
163,"dc comics,secret identity,mass murder,retirement,based on comic book,conspiracy,nuclear war,doomsday,soviet,masked vigilante,doomsday clock,red square,death of superhero,american president,1980s"
164,"lapd,house on fire,revolver"
165,"california,san francisco,monster,general,gun,dna,mutation,psychology,berkeley,transformation,frog,president,marvel comic,superhero,golden gate bridge,doctor,fear,scientist,dog,desert,anger,mirror,phone,military,cell,hulk,superhuman strength,repressed memory,repression"
166,"terror,assassin,secret,technology,missile,warhead,president,rescue,conspiracy,explosion,battle,surveillance,cobra"
167,"tyrant,ironclad ship"
168,"battle assignment,dystopia,alien,downfall,scientist,based on video game"
169,"new york,usa,world war ii,nazis,marvel comic,superhero,based on comic book,nazi germany,period drama,brooklyn new york city,captain america,aftercreditsstinger,marvel cinematic universe,3d"
170,"british,mission,oil,heiress,bilbao spain,british secret service"
171,"naturalist,frigate,self surgery,sea battle,weevil"
172,"vampire,romance,villainess,super strength,imprinting,cross breed,bloodsucker,grudge,vampire vs vampire,chief of police,dhampir,forks washington,wolf pack,misinformation,seeing the future,fang vamp"
173,"penguin,musical,aftercreditsstinger,3d"
174,"new york,rio de janeiro,marvel comic,superhero,based on comic book,on the run,fugitive,super soldier,tony stark,virginia,military,hulk,marvel cinematic universe,angry,bruce banner"
175,"london england,england,based on novel,queen,little girl,orphan,cannibal,giant,evil brother"
176,"father son relationship,rape,based on novel,mountains,winter,grizzly bear,wilderness,frontier,revenge,murder,native american,survival,bear,snow,violence,animal death,bear attack,death of son,based on true events,fur trapper"
177,"underdog,car race,dream,speed,power,snail,fast,friends,superpower,racer"
178,"sheriff,nevada,pet,rango,chameleon,las vegas,cactus,terrarium,construction site,armadillo,disillusionment"
179,"penguin,madagascar,3d"
180,"paris,corruption,madrid,assassin,based on novel,europe,prosecution,dangerous,false identity,revelation,government,weapon,interpol,sequel,conspiracy,shootout,espionage,motorcycle,violence,foot chase,moskow,dark past,langley virginia,flashback,chase on the roof,security leak"
181,"china,martial arts,kung fu,mentor,snake,restaurant,shop,strong woman,bravery,tiger,turtle,panda,sensei,anthropomorphism,fighting,ancient china,monkey,master,destiny,evil,aftercreditsstinger,monkey warrior,noodle"
182,"marvel comic,superhero,based on comic book,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe,3d"
183,"competition,based on novel,mentor,secret,factory,television,propaganda,future,dystopia,alliance,games,president,uprising,sequel,murder,survival,conspiracy,rebellion,blood,female protagonist,tournament,explosion,danger,imax,winner,based on young adult novel"
184,"friendship,spaceship,space,alien,alien invasion,alien friendship,awful leader,taking resposibility"
185,"post traumatic stress  disorder,new jersey,airplane,dystopia,daughter,apocalypse,alien invasion,human subjugation"
186,"miami,ku klux klan,cuba,undercover,mexican standoff,ecstasy,guantánamo,slaughter,shootout,gunfight,bromance,gangster,violence,foot chase,interrogation,car chase,drug lord,exploding house,narcotics cop,illegal drugs,dea agent,buddy cop,criminal underworld,action hero,haitian gang,minefield"
187,"adventure,fairy-tale figure"
188,"assassination,spy,cia,kidnapping,cold war,soviet union,double agent,race against time,revenge,on the run,shootout,espionage,female protagonist,hitwoman,terrorism,violence,russian spy,intelligence officer,action heroine"
189,"bible,god,noah,3d"
190,"riddle,captain,treasure,liquor,treasure hunt,sunken treasure,plot,reporter,3d,action"
191,"flying,traitor,magic,cutting the cord,child hero,broom,sorcerer's apprentice,school of witchcraft,griffon,black magic,time travel,best friend,werewolf,dark,muggle,aftercreditsstinger"
192,"missionary,world war ii,ranch,australia,british,racist,cattle drive,aftercreditsstinger,stampede,waltzing matilda,trampled to death"
193,dystopia
194,"cataclysm,asteroid,leader,comet,animation,prehistoric,prehistoric egg,dinosaur,nesting grounds,prehistoric creature,prehistoric adventure,lemur,prehistoric times"
195,"night watchman,museum,natural history,history,smithsonian"
196,"saving the world,date,prison,secret identity,fish,gun,dna,mayor,anti hero,rain,museum,one-sided love,serum,talking animal,reporter,duringcreditsstinger,stronger villain"
197,"witch,christmas party,magic,cutting the cord,halloween,child hero,broom,chosen one,frog,fantasy world,based on young adult novel"
198,"gold,police operation,partner,revenge,undead,ghost,police department"
199,"exotic island,blacksmith,east india trading company,gold,marriage proposal,mutiny,jamaica,skeleton,daughter,governor,wooden eye,gold coin,pirate,alcoholic,swashbuckler,caribbean,aftercreditsstinger,pirate ship,capuchin monkey,tortuga"
200,"resistance,post-apocalyptic,dystopia,war,sequel,female protagonist,bow and arrow,game,future war,revolt,class prejudice,human subjugation,based on young adult novel"
201,"paris,holy grail,christianity,monk,based on novel,zurich,secret society,louvre,curator,symbologist,opus dei,heresy,mona lisa,freemason,conspiracy,pentagram,tomb,catholicism,cryptologist,iconography,albino,sect"
202,"bird,sequel,jungle,audition,amazon rainforest,parrots"
203,"mutant,marvel comic,superhero,based on comic book,superhuman"
204,"brazil,fbi,freedom,escape from prison,car crash,heist,organized crime,on the run,money,fugitive,police chase,escaped convict,car,imax,automobile racing,duringcreditsstinger"
205,"detective inspector,steampunk,criminal mastermind"
206,"hades,mythology,greek mythology,zeus,medusa,mythological beast,sea monster,perseus,kraken,gods,ancient greece,based on greek myth,3d"
207,"oxygen,falsely accused,resistance,mars,double life,telepathy,mutant,hologram,space colony,false identity,secret agent,dystopia,cyberpunk,false memory,implanted memory"
208,"witch,cave,arabian,scandinavia,bagdad,viking,iraq,war,mission"
209,"assassin,wolf,maryland,suicide by gunshot,rooftop,exploding house,laptop,tracking device,fake id,seoul south korea,pharmaceutical lab,government conspiracy,roof chase,manila philippines,hunted,false passport,alberta canada,lieutenant general"
210,"double life,dc comics,dual identity,crime fighter,fictional place,gotham city,superhero,credit card,super powers"
211,"holiday,christmas party,new love,santa claus,village,kids and family"
212,"saving the world,library,cataclysm,climate change,greenhouse effect,tornado,twister,hurricane,hail,temperature drop,ice age,polar zone,meteorology,gulfstream,barrier ice,ice melting,third world,exodus,evacuation,climate,government,snow,los angeles,scientist,doomsday,antarctic,disaster movie"
213,"terror,spain,cia,helicopter,secret identity,skyscraper,undercover,island,ex-lover,secret mission,dying and death,secret agent,computer,duel,lethal virus,violence,rescue team,agent,car,research laboratory"
214,"u.s. air force,grocery,jamaican,meteorologist,rescue boat,marina,city hall,the flemish cap,male camaraderie,storm at sea"
215,"fire,helicopter,surfboard,mask,satellite,airplane,transformation,forest,resurrection,marvel comic,sequel,superhero,based on comic book,outer space,wedding,explosion,scientist,interrogation,double cross,fantastic four,military,earth in peril,superhuman strength,duringcreditsstinger,invisibility,silver surfer,forcefield,elasticity,absorbing power"
216,"ocean,shipwreck,hindu,tiger,faith,zookeeper,teenage boy,cargo ship,lifeboat,injured animal"
217,"mephisto,religion and supernatural,dying and death,devil's son,ghost world,stunts,flame,based on comic book"
218,"assassin,amnesia,flashback"
219,"robbery,secret identity,secret agent"
220,"android,dystopia,alien,spin off,creation,emergency surgery,aftercreditsstinger,stasis,archeological dig,god complex,cave drawing,genetic mutation,origins of life"
221,"mouse,falcon,bird,friendship,family"
222,"dystopia,space station,class conflict"
223,"prison,dystopia,matter of life and death,outer space,intergalactic travel"
224,"cyborg,future,dystopia,police,remake,violence,detroit"
225,"car race,loss of brother,chimp,family,duringcreditsstinger,woman director"
226,"love triangle,baseball,athlete,aftercreditsstinger"
227,"spy,airport,gas station,garage,pilot,chase,secret agent,rope,exploding building,car chase,police car,boy genius,duringcreditsstinger"
228,"spacecraft,dystopia,space,drone,imax,human vs alien"
229,"showdown,death star,vision,cult figure,hatred,dream sequence,expectant mother,space opera,chancel,childbirth,galactic war"
230,"senate,investigation,army,death star,jedi,cult figure,wedding,violence,kendo,laser gun,space opera,spaceport,teenage rebellion,good becoming evil,alien race,mechanical hand,yoda"
231,"monster,infant,energy supply,company,rivalry,hijinks,best friend,scream,conveyor belt,energy company,friend"
232,"japan,samurai,mutant,world war i,marvel comic,superhero,based on comic book,superhuman,duringcreditsstinger"
233,"prophecy,senate,queen,taskmaster,galaxy,apprentice,taxes,space opera"
234,"stone age,daughter,father,prehistoric,ancient world,father daughter relationship,family,cavemen,aftercreditsstinger,duringcreditsstinger"
235,"competition,greece,colosseum,olympic games,emperor,magic,horse,roman,wild boar,governance,galier"
236,"japan,world war ii,radio transmission,marine corps,u.s. army,code,navajo,pacific war"
237,"witch,magic,fairy tale,snow white,huntsman"
238,"martial arts,terrorist,hero,mutation,van,turtle,vigilante,superhero,based on comic book,ninja,new york city,sewer,reboot,science experiment,3d"
239,"space mission,loss,space,astronaut,trapped in space"
240,"helicopter,small town,mayor,evacuation,motel,lava,volcano,cabin,lovers,natural disaster,partnership,volcanologist,rescue,explosion,scientist,seismograph,volcanic eruption,rowboat,catastrophe,acid,county fair,abandoned mine,volcanic ash"
241,"brother brother relationship,turtle,sequel,based on comic book,ninja,rat"
242,"teleportation,transformation,telekinesis,portal,marvel comic,superhero,based on comic book,superhero team,fantastic four,body horror,invisible woman"
243,"museum,skeleton,night shift,chaos,genghis khan,maya civilization,natural history,theodore roosevelt,dinosaur,based on children's book,magical object,security guard,duringcreditsstinger,inanimate objects coming to life"
244,"california,earthquake,catastrophe,disaster film,3d,san andreas,san andreas california,rescue operation"
245,"london england,england,spy,china,news broadcast,intelligence,television,missile,manipulation of the media,secret intelligence service,special car,tv station,media tycoon,navy,motorcycle,secret service,hamburg germany"
