,production_companies
117,"Village Roadshow Pictures,The Zanuck Company,Warner Bros.,Tim Burton Productions,Plan B Entertainment,Theobald Film Productions"
118,"Walt Disney Pictures,Pixar Animation Studios"
119,"DC Comics,Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy,Patalex III Productions Limited"
120,DreamWorks Animation
121,"Twentieth Century Fox Film Corporation,1492 Pictures,Dune Entertainment,21 Laps Entertainment,Museum Canada Productions,Moving Picture Company (MPC)"
122,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,Donners' Company,Dune Entertainment,Seed Productions,Bad Hat Harry Productions,Big Screen Productions,Marvel Enterprises"
123,"Village Roadshow Pictures,NPV Entertainment,Silver Pictures,Warner Bros."
124,"Walt Disney Pictures,Walt Disney Animation Studios"
125,"Village Roadshow Pictures,NPV Entertainment,Heineken Branded Entertainment,Silver Pictures,Warner Bros."
126,Marvel Studios
127,"Village Roadshow Pictures,Kennedy Miller Productions,Warner Bros."
128,"Columbia Pictures,Imagine Entertainment,Panorama Films,Skylark Productions"
129,Marvel Studios
130,Walt Disney Animation Studios
131,"Walt Disney Pictures,Jerry Bruckheimer Films,Whamaphram Productions"
132,"Legendary Pictures,Thunder Road Pictures,Warner Bros.,Cott Productions,Furia de Titanes II, A.I.E."
133,"Village Roadshow Pictures,Infinitum Nihil,GK Films,Warner Bros.,Tim Burton Productions,Dan Curtis Productions,Zanuck Company, The"
134,"Paramount Pictures,Skydance Productions,China Movie Channel,Bad Robot,TC Productions,Alibaba Pictures Group,Odin"
135,"Universal Pictures,Stuber Productions,Relativity Media"
136,"Pacific Data Images (PDI),DreamWorks Animation,Columbus 81 Productions"
137,DreamWorks Animation
138,"Paramount Pictures,Nickelodeon Movies,Kennedy/Marshall Company, The,Industrial Light & Magic (ILM),Blinding Edge Pictures"
139,"Paramount Pictures,Cruise/Wagner Productions,Studio Babelsberg,MI 3 Film,China Film Co-Production Corporation,China Film Group Corporation (CFGC),The Fourth Production Company Film Group"
140,"Columbia Pictures,Centropolis Entertainment,Iron Horse Entertainment (II),Mythology Entertainment (II)"
141,Walt Disney Animation Studios
142,"Aardman Animations,DreamWorks Animation"
143,"Warner Bros.,Moving Picture Company (MPC),Berlanti Productions,RatPac-Dune Entertainment"
144,"Pacific Data Images (PDI),DreamWorks Animation,Classic Media Productions,Bullwinkle Studios"
145,"Plan B Entertainment,Warner Bros.,Nimar Studios,Radiant Productions,Helena Productions,Latina Pictures"
146,DreamWorks Animation
147,Eon Productions
148,"Columbia Pictures,Village Roadshow Pictures,Montecito Picture Company, The,LStar Capital,Feigco Entertainment,Pascal Pictures,Ghostcorps"
149,"Jerry Bruckheimer Films,Touchstone Pictures,Valhalla Motion Pictures"
150,"Columbia Pictures,Amblin Entertainment,Columbia Pictures Corporation,Parkes+MacDonald Image Nation"
151,"Paramount Pictures,Shangri-La Entertainment,ImageMovers,Paramount Animation"
152,"Twentieth Century Fox Film Corporation,DreamWorks Animation,China Film Co.,Oriental DreamWorks"
153,"Paramount Pictures,Skydance Productions,Bad Robot,TC Productions,Revolution Sun Studios,Kontsept Film Company"
154,DreamWorks Animation
155,"Imagine Entertainment,Columbia Pictures Corporation,JC 23 Entertainment"
156,"Cruise/Wagner Productions,Warner Bros.,Radar Pictures,Bedford Falls Company, The"
157,"Scott Free Productions,Chernin Entertainment,Babieka,Volcano Films"
158,"Paramount Pictures,Spyglass Entertainment,Bad Robot,MavroCine Pictures GmbH & Co. KG"
159,"Columbia Pictures,Marvel Enterprises"
160,"DreamWorks Animation,Mad Hatter Entertainment"
161,"Summit Entertainment,Mystery Clock Cinema,Thunder Road Pictures,TIK Films,Pyramania"
162,"Laura Ziskin Productions,Original Film,Columbia Pictures Corporation,Phoenix Pictures,AFG Talons Productions"
163,"Paramount Pictures,DC Comics,Lawrence Gordon Productions,Legendary Pictures,Warner Bros.,Cruel and Unusual Films"
164,"Silver Pictures,Donner/Shuler-Donner Productions,Warner Bros."
165,"Universal Pictures,Good Machine,Valhalla Motion Pictures,Marvel Enterprises"
166,"Paramount Pictures,Di Bonaventura Pictures,Hasbro,Skydance Productions,Metro-Goldwyn-Mayer (MGM),Saints LA"
167,"Paramount Pictures,Bristol Bay Productions,Baldwin Entertainment Group,Desertlands Entertainment,Mace Neufeld Productions,Kanzaman,J.K. Livin Productions,Moguletta,Sahara Productions,Babelsberg Film"
168,"Columbia Pictures,Square USA,Chris Lee Productions"
169,Marvel Studios
170,"Eon Productions,Metro-Goldwyn-Mayer (MGM)"
171,"Universal Pictures,Twentieth Century Fox Film Corporation,Samuel Goldwyn Films,Miramax"
172,"Summit Entertainment,Sunswept Entertainment,Temple Hill Entertainment"
173,"Village Roadshow Pictures,Warner Bros.,Dr D Studios,Kennedy Miller Mitchell"
174,"Universal Pictures,Marvel Studios,Valhalla Motion Pictures,MVL Incredible Productions"
175,"Walt Disney Pictures,Amblin Entertainment,Reliance Entertainment,Kennedy/Marshall Company, The,Walden Media"
176,"Regency Enterprises,Appian Way,CatchPlay,Anonymous Content,New Regency Pictures,Hong Kong Alpha Motion Pictures Co.,RatPac Entertainment,M Productions,Monarchy Enterprises S.a.r.l."
177,DreamWorks Animation
178,"Paramount Pictures,Nickelodeon Movies,GK Films,Blind Wink,Paramount Animation"
179,DreamWorks Animation
180,"Universal Pictures,The Kennedy/Marshall Company,Ludlum Entertainment,Motion Picture BETA Produktionsgesellschaft,Bourne Again"
181,DreamWorks Animation
182,Marvel Studios
183,"Lionsgate,Color Force"
184,"Twentieth Century Fox Film Corporation,DreamWorks Animation"
185,"Paramount Pictures,DreamWorks SKG,Cruise/Wagner Productions,Amblin Entertainment"
186,"Columbia Pictures Corporation,Don Simpson/Jerry Bruckheimer Films"
187,DreamWorks
188,"Columbia Pictures,Di Bonaventura Pictures,Relativity Media,Wintergreen Productions"
189,"Paramount Pictures,Regency Enterprises,Protozoa Pictures,Disruption Entertainment"
190,"Paramount Pictures,Columbia Pictures,WingNut Films,Amblin Entertainment,Nickelodeon Movies,Kennedy/Marshall Company, The,Hemisphere Media Capital"
191,"1492 Pictures,Heyday films,Warner Bros."
192,"Bazmark Films,Ingenious Film Partners,Twentieth Century Fox Film Corporation,Dune Entertainment III,ScreenWest"
193,"Columbia Pictures,Blinding Edge Pictures,Overbrook Entertainment"
194,"Walt Disney Pictures,Walt Disney Feature Animation"
195,"Twentieth Century Fox Film Corporation,1492 Pictures,21 Laps Entertainment,Moving Picture Company (MPC),TSG Entertainment"
196,DreamWorks Animation
197,"1492 Pictures,Warner Bros.,Heyday Films"
198,"Universal Pictures,Original Film,Dark Horse Entertainment"
199,"Walt Disney Pictures,Jerry Bruckheimer Films"
200,"Lionsgate,Color Force"
201,"Columbia Pictures,Imagine Entertainment,Skylark Productions,Government of Malta"
202,"Blue Sky Studios,Twentieth Century Fox Animation"
203,"Twentieth Century Fox Film Corporation,Donners' Company,Bad Hat Harry Productions,Marvel Enterprises,XM2 Productions,XF2 Canada Productions"
204,"Universal Pictures,Original Film,One Race Productions"
205,"Village Roadshow Pictures,Silver Pictures,Lin Pictures,Warner Bros.,Wigram Productions"
206,"The Zanuck Company,Legendary Pictures,Thunder Road Pictures,Warner Bros.,Moving Picture Company (MPC)"
207,"TriStar Pictures,Carolco Pictures,Carolco International N.V."
208,Touchstone Pictures
209,"Universal Pictures,Dentsu,Relativity Media,Kennedy/Marshall Company, The,Captivate Entertainment"
210,"PolyGram Filmed Entertainment,Warner Bros."
211,"Imagine Entertainment,Universal Pictures"
212,"Lions Gate Films,Twentieth Century Fox Film Corporation,Centropolis Entertainment,Mark Gordon Productions,Mel's Cite du Cinema"
213,"Paramount Pictures,Cruise/Wagner Productions,Munich Film Partners & Company (MFP) MI2 Productions"
214,"Warner Bros.,Baltimore Spring Creek Productions,Radiant Productions"
215,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,1492 Pictures,Dune Entertainment,Constantin Film Produktion,Bernd Eichinger Productions,Marvel Enterprises"
216,"Ingenious Film Partners,Ingenious Media,Dune Entertainment,Fox 2000 Pictures,Big Screen Productions,Haishang Films"
217,"Columbia Pictures Corporation,Relativity Media,Michael De Luca Productions,Marvel Enterprises,Crystal Sky Pictures,GH One,Vengeance Productions Pty. Ltd."
218,"The Kennedy/Marshall Company,Captivate Entertainment,Pearl Street Films,Double Negative,Perfect World (Beijing) Pictures Co."
219,"Columbia Pictures,Wonderland Sound and Vision,Tall Trees Productions,Flower Films (II)"
220,"Twentieth Century Fox Film Corporation,Dune Entertainment,Scott Free Productions,Brandywine Productions"
221,"Columbia Pictures,Sony Pictures Entertainment"
222,"TriStar Pictures,Media Rights Capital,Sony Pictures Entertainment (SPE),QED International,Alpha Core,Genre Films,Simon Kinberg Productions"
223,"One Race Films,Radar Pictures"
224,"Columbia Pictures,Strike Entertainment,Metro-Goldwyn-Mayer (MGM)"
225,"Village Roadshow Pictures,Studio Babelsberg,Anarchos Productions,Silver Pictures,Warner Bros.,Velocity Productions"
226,"Columbia Pictures,Gracie Films,Road Rebel"
227,"Tree Line Films,Twentieth Century Fox Film Corporation,Dune Entertainment,Regency Enterprises,Pink Machine"
228,"Universal Pictures,Chernin Entertainment,Relativity Media,Monolith Pictures (III),Radical Studios"
229,Lucasfilm
230,Lucasfilm
231,"Walt Disney Pictures,Pixar Animation Studios"
232,"Twentieth Century Fox Film Corporation,Donners' Company,Marvel Entertainment,Bad Hat Harry Productions,Big Screen Productions,TSG Entertainment"
233,Lucasfilm
234,DreamWorks Animation
235,"Constantin Film,TF1 Films Productions,Pathé Renn Productions,La Petite Reine,Tri Pictures,Sorolla Films,Novo RPI,Canal+,uFilm,Canal+ España,Le Tax Shelter du Gouvernement Fédéral de Belgique,Les Editions Albert René"
236,"Lion Rock Productions,Metro-Goldwyn-Mayer (MGM)"
237,"Universal Pictures,Perfect World Pictures,Roth Films"
238,"Paramount Pictures,Nickelodeon Movies,Platinum Dunes"
239,"Warner Bros.,Heyday Films,Esperanto Filmoj"
240,"Universal Pictures,Pacific Western"
241,"Paramount Pictures,Nickelodeon Movies,Platinum Dunes,5150 Action,Gama Entertainment Partners"
242,"Twentieth Century Fox Film Corporation,Marv Films,Marvel Entertainment,Constantin Film.,Moving Picture Company (MPC),TSG Entertainment,Genre Films"
243,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,1492 Pictures,21 Laps Entertainment"
244,"New Line Cinema,Village Roadshow Pictures,Warner Bros.,Flynn Picture Company"
245,Eon Productions
246,"Centropolis Entertainment,Columbia Pictures Corporation,Mutual Film Company,Global Entertainment Productions GmbH & Company Medien KG"
247,"Village Roadshow Pictures,Section Eight,Jerry Weintraub Productions,Warner Bros.,WV Films III"
248,"Weed Road Pictures,Summit Entertainment,Regency Enterprises,Epsilon Motion Pictures,New Regency Pictures"
249,"Summit Entertainment,Mandeville Films,Red Wagon Entertainment,NeoReel"
250,"Miramax Films,Appian Way,Forward Pass,Cappa Productions,Warner Bros.,Initial Entertainment Group (IEG),IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,Mel's Cite du Cinema"
251,"Twentieth Century Fox Film Corporation,Dune Entertainment,Davis Entertainment,Dune Entertainment III"
252,"Original Film,Sony Pictures Entertainment,Reliance BIG Entertainment"
253,"Legendary Pictures,Hollywood Gang Productions,Atmosphere Entertainment MM,Warner Bros.,Nimar Studios,Cruel and Unusual Films"
254,"Columbia Pictures,Sony Pictures Animation,Kerner Entertainment Company"
255,Walt Disney Pictures
256,"Summit Entertainment,Lionsgate,Mandeville Films,Red Wagon Entertainment"
257,"DreamWorks SKG,21 Laps Entertainment,Reliance Entertainment,Touchstone Pictures,ImageMovers,Angry Films,Revolution Sun Studios,Kontsept Film Company,Wardour Street Pictures"
258,"Columbia Pictures,Sony Pictures Animation,Kerner Entertainment Company,Hemisphere Media Capital,NeoReel"
259,"Twentieth Century Fox Film Corporation,Blue Tulip Productions"
260,"Summit Entertainment,Chartoff Productions,Odd Lot Entertainment,K/O Paper Products,Digital Domain,Taleswapper"
261,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,Dune Entertainment,Cheyenne Enterprises,Wintergreen Productions"
262,"WingNut Films,New Line Cinema,The Saul Zaentz Company"
263,"Studio Babelsberg,Walden Media,Babelsberg Film,Mostow/Lieberman Productions,80 Days Productions,Spanknyce Films,Fitzwilliam Productions"
264,Columbia Pictures Corporation
265,"Imagine Entertainment,DreamWorks SKG,Universal Pictures"
266,"Twentieth Century Fox Film Corporation,Laurence Mark Productions,Davis Entertainment,Overbrook Entertainment,Mediastream Vierte Film GmbH & Co. Vermarktungs KG,Canlaws Productions"
267,"Studio Babelsberg,Twentieth Century Fox Film Corporation,Scott Free Productions,Kanzaman,Dune Films,BK,KOH,Reino del Cielo,Inside Track 3,Calle Cruzada"
268,"Columbia Pictures Corporation,Global Medien KG,Franklin/Waterman Productions"
269,"Walt Disney Pictures,Walt Disney Animation Studios"
270,"Twentieth Century Fox Film Corporation,Scott Free Productions,Mid Atlantic Films,International Traders,TSG Entertainment,Genre Films"
271,"DreamWorks SKG,Warner Bros.,Parkes/MacDonald Productions"
272,New Line Cinema
273,"Jerry Bruckheimer Films,Touchstone Pictures"
274,"DreamWorks SKG,Universal Pictures,Scott Free Productions,Red Wagon Entertainment,Mill Film,C & L,Dawliz"
275,"DreamWorks SKG,Cruise/Wagner Productions,Amblin Entertainment,Twentieth Century Fox Film Corporation,Blue Tulip Productions,Ronald Shusett/Gary Goldman,Digital Image Associates"
276,"1492 Pictures,Heyday films,Warner Bros."
277,"Eon Productions,Stillking Films,Babelsberg Film"
278,"Twentieth Century Fox Film Corporation,Tim Burton Productions,Zanuck Company, The"
279,"Lightstorm Entertainment,Pacific Western,Canal+,Carolco Pictures,T2 Productions"
280,"Universal Pictures,Appian Way,Forward Pass,Dentsu,Relativity Media,Tribeca Productions,Misher Films"
281,"Imagine Entertainment,Universal Pictures,Scott Free Productions,Relativity Media,Film Rites"
282,"Twentieth Century Fox Film Corporation,Lightstorm Entertainment"
283,"Columbia Pictures,Escape Artists,Scott Free Productions,Relativity Media,Metro-Goldwyn-Mayer (MGM)"
284,"Paramount Pictures,Universal Pictures,Everyman Pictures,Relativity Media,Dreamworks Pictures,Tribeca Productions"
285,"Columbia Pictures,Gary Sanchez Productions"
286,"Kopelson Entertainment,Warner Bros."
287,"Columbia Pictures,The Weinstein Company"
288,Walt Disney Pictures
289,"Walt Disney Pictures,Walt Disney Feature Animation"
290,"Nu Image Films,Millennium Films"
291,"Walt Disney Pictures,Jerry Bruckheimer Films,Saturn Films,Junction Entertainment"
292,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,Dune Entertainment,Major Studio Partners,Fox 2000 Pictures,Davis Entertainment,Mid Atlantic Films"
293,"Village Roadshow Pictures,Legendary Pictures,Playtone,Wild Things Productions,Warner Bros."
294,"Blue Sky Studios,Twentieth Century Fox Animation"
295,"Columbia Pictures,Spyglass Entertainment,Peninsula Films,StudioCanal,Sony Pictures Releasing,GK Films,Sony Pictures Worldwide Acquisitions (SPWA),Italian Tax Credit,Birnbaum/Barber,Cineroma SRL,French Tax Credit"
296,Beacon Communications
297,"Bedford Falls Productions,Lonely Film Productions GmbH & Co. KG.,Virtual Studios,Spring Creek Productions,Warner Bros.,Initial Entertainment Group (IEG),Liberty Pictures"
298,"Paramount Pictures,Appian Way,EMJAG Productions,Red Granite Pictures,Sikelia Productions"
299,"Warner Bros.,Polygram Filmed Entertainment"
300,"TriStar Pictures,Touchstone Pictures,Big Bug Pictures"
301,"Anarchos Productions,X-Filme Creative Pool,Ascension Pictures,ARD Degeto Film,Cloud Atlas Productions,Five Drops,Media Asia Group,Dreams of Dragon Picture"
302,"Village Roadshow Pictures,Warner Bros.,Animal Logic,Cruel and Unusual Films"
303,"Village Roadshow Pictures,DiNovi Pictures,Warner Bros.,Frantic Films,Maple Shade Films,Catwoman Films"
304,"Paramount Pictures,Metro-Goldwyn-Mayer (MGM),Radical Studios,Flynn Picture Company"
305,"Walt Disney Pictures,Walt Disney Feature Animation"
306,"Universal Pictures,Mosaic Media Group,Relativity Media,Sid & Marty Krofft Pictures"
307,"Davis-Films,Nu Image Films,LionsGate,Millennium Films,Ex3 Productions,Fipex Holding"
308,"Studio Babelsberg,Alcon Entertainment,DMG Entertainment,Ehman Productions"
309,"New Line Cinema,Pathé Distribution"
310,"Imagine Entertainment,Spring Creek Productions,Warner Bros.,Roth Films,K. JAM Media,Cott Productions,Surf Film,Enelmar Productions, A.I.E."
311,"Village Roadshow Pictures,Castle Rock Entertainment,NPV Entertainment,Mel's Cite du Cinema"
312,"Universal Pictures,StudioCanal,Dentsu,Relativity Media,Working Title Films"
313,"Blue Sky Studios,Twentieth Century Fox Animation"
314,"Jean Doumanian Productions,Sweetland Films,Magnolia Films,Jasmine Productions Inc."
315,"Universal Pictures,Alphaville Films,Imhotep Productions"
316,"Miramax Films,Initial Entertainment Group (IEG),Alberto Grimaldi Productions"
317,"Beijing New Picture Film Co. Ltd.,EDKO Film,New Picture Company"
318,"Columbia Pictures,Sony Pictures Animation"
319,"Paramount Pictures,De Line Pictures,DreamWorks Pictures"
320,"Jerry Bruckheimer Films,Revolution Studios,Scott Free Productions"
321,"Everyman Pictures,Gary Sanchez Productions,Warner Bros.,Location Gourmet"
322,"Columbia Pictures,Gaumont"
323,"New Line Cinema,Village Roadshow Pictures,Home Box Office (HBO),HBO Films"
324,"DreamWorks SKG,DreamWorks Animation"
325,"Blue Sky Studios,Twentieth Century Fox Animation"
326,"Walt Disney Pictures,Genre Films,Beagle Pug Films,Allison Shearmur Productions"
327,"WingNut Films,DreamWorks SKG,Key Creatives,Film4,Goldcrest Pictures,New Zealand Large Budget Screen Production Grant"
328,Pixar Animation Studios
329,"WingNut Films,New Line Cinema"
330,"WingNut Films,New Line Cinema,The Saul Zaentz Company"
331,"Legendary Pictures,Thunder Road Pictures,Outlaw Sinema,Moving Picture Company (MPC),Pendle Mountain Productions,China Film Co."
