,cast,genres,keywords,production_companies,production_countries,urls,titles
10,BrandonRouth KevinSpacey KateBosworth JamesMarsden,Adventure Fantasy Action ScienceFiction,savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor,DCComics LegendaryPictures WarnerBros. BadHatHarryProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.1u9Ttr2EL5kjEXpxEdmCFwHaKY%26pid%3D15.1&f=1,superman returns
11,DanielCraig OlgaKurylenko MathieuAmalric JudiDench,Adventure Action Thriller Crime,killing undercover secretagent britishsecretservice,EonProductions,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.Ych01EOf3wgOwj-ZMfXX3AHaFj%26pid%3D15.1&f=1,quantum of solace
12,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård,Adventure Fantasy Action,witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger,WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions,Jamaica UnitedStatesofAmerica Bahamas Dominica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.x8SEneZ_2Ajny7hDNnTISAHaLH%26pid%3D15.1&f=1,pirates of the caribbean: dead man's chest
13,JohnnyDepp ArmieHammer WilliamFichtner HelenaBonhamCarter,Action Adventure Western,texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto,WaltDisneyPictures JerryBruckheimerFilms InfinitumNihil SilverBulletProductions(II) BlindWinkProductions ClassicMedia,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Sna0D6uO3DM_BAgph5aAsQHaLH%26pid%3D15.1&f=1,the lone ranger
14,HenryCavill AmyAdams MichaelShannon KevinCostner,Action Adventure Fantasy ScienceFiction,savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse,LegendaryPictures WarnerBros. DCEntertainment Syncopy CruelandUnusualFilms,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.PuuXjd6oRYt1hUHcb1yOsgHaK8%26pid%3D15.1&f=1,man of steel
15,BenBarnes WilliamMoseley AnnaPopplewell SkandarKeynes,Adventure Family Fantasy,basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld,WaltDisney WaldenMedia StillkingFilms OzumiFilms Propeler SilverbellFilms RevolutionSunStudios,CzechRepublic Poland Slovenia UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.lwJi5YjojMYzOhgetro4cAHaK8%26pid%3D15.1&f=1,the chronicles of narnia: prince caspian
16,RobertDowneyJr. ChrisEvans MarkRuffalo ChrisHemsworth,ScienceFiction Action Adventure,newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse,ParamountPictures MarvelStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.NVGB97B5QwrJ-Z2JsM-nHwHaDt%26pid%3D15.1&f=1,the avengers
17,JohnnyDepp PenélopeCruz IanMcShane KevinMcNally,Adventure Action Fantasy,sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d,WaltDisneyPictures JerryBruckheimerFilms MovingPictureCompany(MPC),UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.hWEdv6ukcIcrXDky34N6PQHaK-%26pid%3D15.1&f=1,pirates of the caribbean: on stranger tides
18,WillSmith TommyLeeJones JoshBrolin MichaelStuhlbarg,Action Comedy ScienceFiction,timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory,AmblinEntertainment MediaMagikEntertainment ImagenationAbuDhabiFZ HemisphereMediaCapital Parkes/MacDonaldProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.QGiDHWkbwsdOwq7RPlJQWAHaKx%26pid%3D15.1&f=1,men in black 3
19,MartinFreeman IanMcKellen RichardArmitage KenStott,Action Adventure Fantasy,corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery,WingNutFilms NewLineCinema WarnerBros.Pictures 3Foot7 Metro-Goldwyn-Mayer(MGM),NewZealand UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.JwqBw_rhugvf7nsFGzlU9gHaKy%26pid%3D15.1&f=1,the hobbit: the battle of the five armies
20,AndrewGarfield EmmaStone RhysIfans DenisLeary,Action Adventure Fantasy,lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger,ColumbiaPictures LauraZiskinProductions MarvelEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.aj1FQKJ5PdbKzkV5n1a4cQHaLH%26pid%3D15.1&f=1,the amazing spider-man
21,RussellCrowe CateBlanchett MaxvonSydow WilliamHurt,Action Adventure,robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland,ImagineEntertainment UniversalPictures ScottFreeProductions RelativityMedia,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.00wjOECsRDXom142hHEvPgHaEK%26pid%3D15.1&f=1,robin hood
22,MartinFreeman IanMcKellen RichardArmitage KenStott,Adventure Fantasy,elves dwarves orcs hobbit dragon wizard swordandsorcery,WingNutFilms NewLineCinema WarnerBros.Pictures Metro-Goldwyn-Mayer(MGM),NewZealand UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.FQguPkza1zRtUPQ5fJTV7QHaK9%26pid%3D15.1&f=1,the hobbit: the desolation of smaug
23,DakotaBlueRichards NicoleKidman DanielCraig SamElliott,Adventure Fantasy,england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel,NewLineCinema IngeniousFilmPartners DepthofField ScholasticProductions,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.8SR2_L0onuFzfM2QgL1l7AHaLH%26pid%3D15.1&f=1,the golden compass
24,NaomiWatts JackBlack AdrienBrody ThomasKretschmann,Adventure Drama Action,filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur,WingNutFilms UniversalPictures BigPrimatePictures MFPVFilm,NewZealand UnitedStatesofAmerica Germany,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.WChX1XOWPw5N99nnjA-QqQHaK_%26pid%3D15.1&f=1,king kong
25,KateWinslet LeonardoDiCaprio FrancesFisher BillyZane,Drama Romance Thriller,shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s,ParamountPictures TwentiethCenturyFoxFilmCorporation LightstormEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.Kzal6IHZDaH868EOuS-qXgHaLH%26pid%3D15.1&f=1,titanic
26,ChrisEvans RobertDowneyJr. ScarlettJohansson SebastianStan,Adventure Action ScienceFiction,civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d,StudioBabelsberg MarvelStudios WaltDisneyStudiosMotionPictures Vita-RayDutchProductions(III) DeluxeDigitalStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.0KFJ6RtLd4FT1lXaTFdXcgHaEK%26pid%3D15.1&f=1,captain america: civil war
27,TaylorKitsch AlexanderSkarsgård Rihanna BrooklynDecker,Thriller Action Adventure ScienceFiction,fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri,UniversalPictures Hasbro BluegrassFilms Film44,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.YhsiVRZ-UPlvdF-LeMhZZQHaLH%26pid%3D15.1&f=1,battleship
28,ChrisPratt BryceDallasHoward IrrfanKhan VincentD'Onofrio,Action Adventure ScienceFiction Thriller,monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror,UniversalStudios AmblinEntertainment LegendaryPictures FujiTelevisionNetwork Dentsu,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.FJirsn3Yxm80zz-v90rKsgHaLU%26pid%3D15.1&f=1,jurassic world
29,DanielCraig JudiDench JavierBardem RalphFiennes,Action Adventure Thriller,spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao,ColumbiaPictures,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.6vix-CJ6aWrUlRUEkCdZSwAAAA%26pid%3D15.1&f=1,skyfall
30,TobeyMaguire KirstenDunst JamesFranco AlfredMolina,Action Adventure Fantasy,dualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain,ColumbiaPictures LauraZiskinProductions MarvelEnterprises,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.S6HhM6w48Q_GNZhRT19TXgHaLH%26pid%3D15.1&f=1,spider-man 2
31,RobertDowneyJr. GwynethPaltrow DonCheadle GuyPearce,Action Adventure ScienceFiction,terrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremis,MarvelStudios,China UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.XbpUnMtlGEI6FkFltyvydgHaK-%26pid%3D15.1&f=1,iron man 3
32,MiaWasikowska JohnnyDepp AnneHathaway HelenaBonhamCarter,Family Fantasy Adventure,basedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3d,WaltDisneyPictures TeamTodd TimBurtonProductions RothFilms ZanuckCompany The,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.SXAYDv7BwjYe_1yHziJ1wwAAAA%26pid%3D15.1&f=1,alice in wonderland
33,HughJackman HalleBerry IanMcKellen PatrickStewart,Adventure Action ScienceFiction Thriller,mutant marvelcomic basedoncomicbook superhuman beast cyclops aftercreditsstinger,IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment MajorStudioPartners BadHatHarryProductions thinkfilm MarvelEnterprises X3CanadaProductions X3USProductions XM3Service,Canada UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.c1awF4Fxrt5kTfFGu1R4KgHaLH%26pid%3D15.1&f=1,x-men: the last stand
34,BillyCrystal JohnGoodman SteveBuscemi HelenMirren,Animation Family,monster dormitory games animation bestfriend university scary aftercreditsstinger,WaltDisneyPictures PixarAnimationStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.RGOy-56Wqlbof5zJ_zGuswHaEo%26pid%3D15.1&f=1,monsters university
35,ShiaLaBeouf MeganFox JoshDuhamel RainnWilson,ScienceFiction Action Adventure,egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger,ParamountPictures DreamWorksSKG AmblinEntertainment DiBonaventuraPictures PlatinumDunes HasbroStudios RevolutionSunStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.qKNM9xbt9CJHE2ubg44MqAHaLH%26pid%3D15.1&f=1,transformers: revenge of the fallen
36,MarkWahlberg StanleyTucci KelseyGrammer NicolaPeltz,ScienceFiction Action Adventure,sequel alien transformers giantrobot robot imax transformingrobot,ParamountPictures AmblinEntertainment DiBonaventuraPictures PlatinumDunes ChinaMovieChannel HasbroStudios IanBryceProductions RevolutionSunStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.bX56ROyBi8Yx8VfrOQRGZgHaLj%26pid%3D15.1&f=1,transformers: age of extinction
37,JamesFranco MilaKunis RachelWeisz MichelleWilliams,Fantasy Adventure Family,circus witch magic hope illusion lost magictrick wizard 3d,WaltDisneyPictures RothFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.0JpxU60SKVFSKWrQTjgTrwHaEo%26pid%3D15.1&f=1,oz: the great and powerful
38,AndrewGarfield EmmaStone JamieFoxx DaneDeHaan,Action Adventure Fantasy,obsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpowers,ColumbiaPictures MarvelEnterprises AviAradProductions MattTolmachProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.HvZOwIes448wzzN_zYz2DwHaLH%26pid%3D15.1&f=1,the amazing spider-man 2
39,GarrettHedlund JeffBridges OliviaWilde BruceBoxleitner,Adventure Action ScienceFiction,artificialintelligence secretidentity computerprogram dystopia computer deception duel motorcycle neonlight autocracy,WaltDisneyPictures LivePlanet PranaStudios SeanBaileyProductions RevolutionSunStudios KontseptFilmCompany,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.ARn_dgkeMf_8AMmiVyALUAHaKb%26pid%3D15.1&f=1,tron: legacy
40,OwenWilson LarrytheCableGuy MichaelCaine EmilyMortimer,Animation Family Adventure Comedy,carrace sequel comedy anthropomorphism bestfriend duringcreditsstinger,WaltDisneyPictures PixarAnimationStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.--b7Cgnxv__7FKx_i4ITXAHaK9%26pid%3D15.1&f=1,cars 2
41,RyanReynolds BlakeLively PeterSarsgaard TimRobbins,Adventure Action Thriller ScienceFiction,dccomics transformation superhero alien alieninfection magicalobject protector superpowers origin 3d,DeLinePictures WarnerBros. DCEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.-V4UTZhUdjXm7BpUWdmDMAHaK9%26pid%3D15.1&f=1,green lantern
42,TomHanks TimAllen NedBeatty JoanCusack,Animation Family Comedy,hostage college toy barbie animation escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife toystory,WaltDisneyPictures PixarAnimationStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.PeCq3CVsyBwTiGYRHiTu-QHaKj%26pid%3D15.1&f=1,toy story 3
43,ChristianBale SamWorthington AntonYelchin MoonBloodgood,Action ScienceFiction Thriller,savingtheworld artificialintelligence prophecy sanfrancisco cyborg killerrobot gasstation post-apocalyptic dystopia army firearm wartime losangeles,ColumbiaPictures TheHalcyonCompany WonderlandSoundandVision WarnerBros.,Germany Italy UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.iVWvgs3Uvtv24kO4d03DkAHaMs%26pid%3D15.1&f=1,terminator salvation
44,VinDiesel PaulWalker DwayneJohnson MichelleRodriguez,Action,carrace speed revenge suspense car race musclecar,UniversalPictures OriginalFilm FujiTelevisionNetwork Dentsu OneRaceFilms ChinaFilmCo. QuébecProductionServicesTaxCredit MediaRightsCapital(MRC) AbuDhabiFilmCommission ColoradoOfficeofFilm Television&Media,Japan UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.2GRIb8DggD6vf4aSm-pgcwHaLv%26pid%3D15.1&f=1,furious 7
45,BradPitt MireilleEnos AbigailHargrove SterlingJerins,Action Drama Horror ScienceFiction Thriller,dystopia apocalypse zombie nuclearweapons multipleperspectives zombieapocalypse,ParamountPictures GKFilms SkydanceProductions HemisphereMediaCapital ApparatusProductions LatinaPictures 2DUX²,UnitedStatesofAmerica Malta,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.iO2rOO6Fa4xSxZor3CTdegHaK-%26pid%3D15.1&f=1,world war z
46,HughJackman JamesMcAvoy MichaelFassbender JenniferLawrence,Action Adventure Fantasy ScienceFiction,1970s mutant timetravel marvelcomic basedoncomicbook superhuman storm beast aftercreditsstinger changingthepastorfuture,TwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment DownProductions RevolutionSunStudios,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP._Sark_HxgOjyKXYtbvsGCQHaEo%26pid%3D15.1&f=1,x-men: days of future past
47,ChrisPine ZacharyQuinto ZoeSaldana KarlUrban,Action Adventure ScienceFiction,spacecraft friendship sequel futuristic space alien imax spaceopera terroristbombing 3d,ParamountPictures SkydanceProductions BadRobot Kurtzman/Orci,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.BKgBTet1i2w3M5TRUZqyTQHaKg%26pid%3D15.1&f=1,star trek into darkness
48,NicholasHoult EleanorTomlinson EwanMcGregor StanleyTucci,Action Family Fantasy,basedonfairytale giant,NewLineCinema OriginalFilm LegendaryPictures WarnerBros. BigKidPictures BadHatHarryProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.kUwUb0uWCZqsUUdDMmWxdQHaLI%26pid%3D15.1&f=1,jack the giant slayer
49,LeonardoDiCaprio TobeyMaguire CareyMulligan JoelEdgerton,Drama Romance,basedonnovel infidelity obsession hope 3d,VillageRoadshowPictures BazmarkFilms WarnerBros. A&ETelevisionNetworks RedWagonEntertainment SpectrumFilms,UnitedStatesofAmerica Australia,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.CsZXLYuG3N0oFX5bK4LBCQHaLH%26pid%3D15.1&f=1,the great gatsby
50,JakeGyllenhaal GemmaArterton BenKingsley AlfredMolina,Adventure Fantasy Action Romance,persia sandstorm brotheragainstbrother armageddon regent basedonvideogame,WaltDisneyPictures JerryBruckheimerFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.P1x1xV99H5WL5983CfI86AHaLH%26pid%3D15.1&f=1,prince of persia: the sands of time
51,IdrisElba CharlieHunnam CharlieDay RonPerlman,Action ScienceFiction Adventure,dystopia giantrobot giantmonster apocalypse imax duringcreditsstinger 3d,LegendaryPictures WarnerBros. DisneyDoubleDareYou(DDY) IndochinaProductions,UnitedStatesofAmerica Canada,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.B_dicm3-cDtz2Y2p_GW2-QHaK9%26pid%3D15.1&f=1,pacific rim
52,ShiaLaBeouf JohnMalkovich KenJeong FrancesMcDormand,Action ScienceFiction Adventure,moon spacecraft traitor bodyguard alienplanet basedoncartoon transformers giantrobot sabotage worddomination commando duringcreditsstinger,ParamountPictures DiBonaventuraPictures IndochinaProductions HasbroStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.yQhPsv6XYH27P72RehXV9gHaK-%26pid%3D15.1&f=1,transformers: dark of the moon
53,HarrisonFord CateBlanchett ShiaLaBeouf RayWinstone,Adventure Action,savingtheworld riddle whip treasure mexicocity leatherjacket machinegun alienphenomenons mayacivilization peru treasurehunt nuclearexplosion refrigerator archaeologist indianajones archeology ,Lucasfilm ParamountPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.0l0kTW2iSD93tnPFdJOSMAHaLH%26pid%3D15.1&f=1,indiana jones and the kingdom of the crystal skull
54,RaymondOchoa JackBright JeffreyWright FrancesMcDormand,Adventure Animation Family,tyrannosaurusrex friends alternatehistory dinosaur fear storm nature human journey,WaltDisneyPictures PixarAnimationStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.NaneUJ2hGxecnQ_Oi9pE3AHaKj%26pid%3D15.1&f=1,the good dinosaur
