,0,title
18,WillSmith TommyLeeJones JoshBrolin MichaelStuhlbargAction Comedy ScienceFictiontimetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistoryAmblinEntertainment MediaMagikEntertainment ImagenationAbuDhabiFZ HemisphereMediaCapital Parkes/MacDonaldProductionsUnitedStatesofAmerica,Men in Black 3
19,MartinFreeman IanMcKellen RichardArmitage KenStottAction Adventure Fantasycorruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorceryWingNutFilms NewLineCinema WarnerBros.Pictures 3Foot7 Metro-Goldwyn-Mayer(MGM)NewZealand UnitedStatesofAmerica,The Hobbit: The Battle of the Five Armies
20,AndrewGarfield EmmaStone RhysIfans DenisLearyAction Adventure Fantasylossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstingerColumbiaPictures LauraZiskinProductions MarvelEntertainmentUnitedStatesofAmerica,The Amazing Spider-Man
21,RussellCrowe CateBlanchett MaxvonSydow WilliamHurtAction Adventurerobinhood archer knight sherwoodforest bowandarrow middleages medieval kingofenglandImagineEntertainment UniversalPictures ScottFreeProductions RelativityMediaUnitedKingdom UnitedStatesofAmerica,Robin Hood
22,MartinFreeman IanMcKellen RichardArmitage KenStottAdventure Fantasyelves dwarves orcs hobbit dragon wizard swordandsorceryWingNutFilms NewLineCinema WarnerBros.Pictures Metro-Goldwyn-Mayer(MGM)NewZealand UnitedStatesofAmerica,The Hobbit: The Desolation of Smaug
23,DakotaBlueRichards NicoleKidman DanielCraig SamElliottAdventure Fantasyengland compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovelNewLineCinema IngeniousFilmPartners DepthofField ScholasticProductionsUnitedKingdom UnitedStatesofAmerica,The Golden Compass
24,NaomiWatts JackBlack AdrienBrody ThomasKretschmannAdventure Drama Actionfilmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaurWingNutFilms UniversalPictures BigPrimatePictures MFPVFilmNewZealand UnitedStatesofAmerica Germany,King Kong
25,KateWinslet LeonardoDiCaprio FrancesFisher BillyZaneDrama Romance Thrillershipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910sParamountPictures TwentiethCenturyFoxFilmCorporation LightstormEntertainmentUnitedStatesofAmerica,Titanic
26,ChrisEvans RobertDowneyJr. ScarlettJohansson SebastianStanAdventure Action ScienceFictioncivilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3dStudioBabelsberg MarvelStudios WaltDisneyStudiosMotionPictures Vita-RayDutchProductions(III) DeluxeDigitalStudiosUnitedStatesofAmerica,Captain America: Civil War
27,TaylorKitsch AlexanderSkarsgård Rihanna BrooklynDeckerThriller Action Adventure ScienceFictionfight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouriUniversalPictures Hasbro BluegrassFilms Film44UnitedStatesofAmerica,Battleship
28,ChrisPratt BryceDallasHoward IrrfanKhan VincentD'OnofrioAction Adventure ScienceFiction Thrillermonster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorrorUniversalStudios AmblinEntertainment LegendaryPictures FujiTelevisionNetwork DentsuUnitedStatesofAmerica,Jurassic World
29,DanielCraig JudiDench JavierBardem RalphFiennesAction Adventure Thrillerspy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macaoColumbiaPicturesUnitedKingdom UnitedStatesofAmerica,Skyfall
30,TobeyMaguire KirstenDunst JamesFranco AlfredMolinaAction Adventure Fantasydualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillainColumbiaPictures LauraZiskinProductions MarvelEnterprisesUnitedStatesofAmerica,Spider-Man 2
31,RobertDowneyJr. GwynethPaltrow DonCheadle GuyPearceAction Adventure ScienceFictionterrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremisMarvelStudiosChina UnitedStatesofAmerica,Iron Man 3
32,MiaWasikowska JohnnyDepp AnneHathaway HelenaBonhamCarterFamily Fantasy Adventurebasedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3dWaltDisneyPictures TeamTodd TimBurtonProductions RothFilms ZanuckCompany TheUnitedStatesofAmerica,Alice in Wonderland
33,HughJackman HalleBerry IanMcKellen PatrickStewartAdventure Action ScienceFiction Thrillermutant marvelcomic basedoncomicbook superhuman beast cyclops aftercreditsstingerIngeniousFilmPartners TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment MajorStudioPartners BadHatHarryProductions thinkfilm MarvelEnterprises X3CanadaProductions X3USProductions XM3ServiceCanada UnitedKingdom UnitedStatesofAmerica,X-Men: The Last Stand
34,BillyCrystal JohnGoodman SteveBuscemi HelenMirrenAnimation Familymonster dormitory games animation bestfriend university scary aftercreditsstingerWaltDisneyPictures PixarAnimationStudiosUnitedStatesofAmerica,Monsters University
35,ShiaLaBeouf MeganFox JoshDuhamel RainnWilsonScienceFiction Action Adventureegypt sun chaos symbol artifact transformers tank robot imax duringcreditsstingerParamountPictures DreamWorksSKG AmblinEntertainment DiBonaventuraPictures PlatinumDunes HasbroStudios RevolutionSunStudiosUnitedStatesofAmerica,Transformers: Revenge of the Fallen
36,MarkWahlberg StanleyTucci KelseyGrammer NicolaPeltzScienceFiction Action Adventuresequel alien transformers giantrobot robot imax transformingrobotParamountPictures AmblinEntertainment DiBonaventuraPictures PlatinumDunes ChinaMovieChannel HasbroStudios IanBryceProductions RevolutionSunStudiosUnitedStatesofAmerica,Transformers: Age of Extinction
37,JamesFranco MilaKunis RachelWeisz MichelleWilliamsFantasy Adventure Familycircus witch magic hope illusion lost magictrick wizard 3dWaltDisneyPictures RothFilmsUnitedStatesofAmerica,Oz: The Great and Powerful
38,AndrewGarfield EmmaStone JamieFoxx DaneDeHaanAction Adventure Fantasyobsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpowersColumbiaPictures MarvelEnterprises AviAradProductions MattTolmachProductionsUnitedStatesofAmerica,The Amazing Spider-Man 2
39,GarrettHedlund JeffBridges OliviaWilde BruceBoxleitnerAdventure Action ScienceFictionartificialintelligence secretidentity computerprogram dystopia computer deception duel motorcycle neonlight autocracyWaltDisneyPictures LivePlanet PranaStudios SeanBaileyProductions RevolutionSunStudios KontseptFilmCompanyUnitedStatesofAmerica,TRON: Legacy
40,OwenWilson LarrytheCableGuy MichaelCaine EmilyMortimerAnimation Family Adventure Comedycarrace sequel comedy anthropomorphism bestfriend duringcreditsstingerWaltDisneyPictures PixarAnimationStudiosUnitedStatesofAmerica,Cars 2
41,RyanReynolds BlakeLively PeterSarsgaard TimRobbinsAdventure Action Thriller ScienceFictiondccomics transformation superhero alien alieninfection magicalobject protector superpowers origin 3dDeLinePictures WarnerBros. DCEntertainmentUnitedStatesofAmerica,Green Lantern
42,TomHanks TimAllen NedBeatty JoanCusackAnimation Family Comedyhostage college toy barbie animation escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife toystoryWaltDisneyPictures PixarAnimationStudiosUnitedStatesofAmerica,Toy Story 3
43,ChristianBale SamWorthington AntonYelchin MoonBloodgoodAction ScienceFiction Thrillersavingtheworld artificialintelligence prophecy sanfrancisco cyborg killerrobot gasstation post-apocalyptic dystopia army firearm wartime losangelesColumbiaPictures TheHalcyonCompany WonderlandSoundandVision WarnerBros.Germany Italy UnitedKingdom UnitedStatesofAmerica,Terminator Salvation
44,VinDiesel PaulWalker DwayneJohnson MichelleRodriguezActioncarrace speed revenge suspense car race musclecarUniversalPictures OriginalFilm FujiTelevisionNetwork Dentsu OneRaceFilms ChinaFilmCo. QuébecProductionServicesTaxCredit MediaRightsCapital(MRC) AbuDhabiFilmCommission ColoradoOfficeofFilm Television&MediaJapan UnitedStatesofAmerica,Furious 7
45,BradPitt MireilleEnos AbigailHargrove SterlingJerinsAction Drama Horror ScienceFiction Thrillerdystopia apocalypse zombie nuclearweapons multipleperspectives zombieapocalypseParamountPictures GKFilms SkydanceProductions HemisphereMediaCapital ApparatusProductions LatinaPictures 2DUX²UnitedStatesofAmerica Malta,World War Z
46,HughJackman JamesMcAvoy MichaelFassbender JenniferLawrenceAction Adventure Fantasy ScienceFiction1970s mutant timetravel marvelcomic basedoncomicbook superhuman storm beast aftercreditsstinger changingthepastorfutureTwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment DownProductions RevolutionSunStudiosUnitedKingdom UnitedStatesofAmerica,X-Men: Days of Future Past
47,ChrisPine ZacharyQuinto ZoeSaldana KarlUrbanAction Adventure ScienceFictionspacecraft friendship sequel futuristic space alien imax spaceopera terroristbombing 3dParamountPictures SkydanceProductions BadRobot Kurtzman/OrciUnitedStatesofAmerica,Star Trek Into Darkness
48,NicholasHoult EleanorTomlinson EwanMcGregor StanleyTucciAction Family Fantasybasedonfairytale giantNewLineCinema OriginalFilm LegendaryPictures WarnerBros. BigKidPictures BadHatHarryProductionsUnitedStatesofAmerica,Jack the Giant Slayer
49,LeonardoDiCaprio TobeyMaguire CareyMulligan JoelEdgertonDrama Romancebasedonnovel infidelity obsession hope 3dVillageRoadshowPictures BazmarkFilms WarnerBros. A&ETelevisionNetworks RedWagonEntertainment SpectrumFilmsUnitedStatesofAmerica Australia,The Great Gatsby
50,JakeGyllenhaal GemmaArterton BenKingsley AlfredMolinaAdventure Fantasy Action Romancepersia sandstorm brotheragainstbrother armageddon regent basedonvideogameWaltDisneyPictures JerryBruckheimerFilmsUnitedStatesofAmerica,Prince of Persia: The Sands of Time
51,IdrisElba CharlieHunnam CharlieDay RonPerlmanAction ScienceFiction Adventuredystopia giantrobot giantmonster apocalypse imax duringcreditsstinger 3dLegendaryPictures WarnerBros. DisneyDoubleDareYou(DDY) IndochinaProductionsUnitedStatesofAmerica Canada,Pacific Rim
52,ShiaLaBeouf JohnMalkovich KenJeong FrancesMcDormandAction ScienceFiction Adventuremoon spacecraft traitor bodyguard alienplanet basedoncartoon transformers giantrobot sabotage worddomination commando duringcreditsstingerParamountPictures DiBonaventuraPictures IndochinaProductions HasbroStudiosUnitedStatesofAmerica,Transformers: Dark of the Moon
53,HarrisonFord CateBlanchett ShiaLaBeouf RayWinstoneAdventure Actionsavingtheworld riddle whip treasure mexicocity leatherjacket machinegun alienphenomenons mayacivilization peru treasurehunt nuclearexplosion refrigerator archaeologist indianajones archeology Lucasfilm ParamountPicturesUnitedStatesofAmerica,Indiana Jones and the Kingdom of the Crystal Skull
54,RaymondOchoa JackBright JeffreyWright FrancesMcDormandAdventure Animation Familytyrannosaurusrex friends alternatehistory dinosaur fear storm nature human journeyWaltDisneyPictures PixarAnimationStudiosUnitedStatesofAmerica,The Good Dinosaur
55,KellyMacdonald JulieWalters BillyConnolly EmmaThompsonAnimation Adventure Comedy Family Action Fantasyscotland rebel bravery kingdom archer wish bear scot rebelliousdaughter turnsintoanimal archery ruins aftercreditsstinger peaceoffering womandirector courage 3dWaltDisneyPictures PixarAnimationStudiosUnitedStatesofAmerica,Brave
56,ChrisPine ZacharyQuinto KarlUrban SimonPeggAction Adventure ScienceFictionsequel stranded hatred spaceoperaParamountPictures BadRobot PerfectStormEntertainment AlibabaPicturesGroup SkydanceMedia SneakyShark HuahuaMediaUnitedStatesofAmerica,Star Trek Beyond
57,BenBurtt ElissaKnight JeffGarlin FredWillardAnimation FamilyromanticcomedyWaltDisneyPictures PixarAnimationStudios FortyFourStudiosUnitedStatesofAmerica,WALL·E
58,ChrisTucker JackieChan HiroyukiSanada MaxvonSydowAction Comedy Crime ThrillerambassadorNewLineCinemaUnitedStatesofAmerica,Rush Hour 3
59,JohnCusack AmandaPeet ChiwetelEjiofor ThandieNewtonAction Adventure ScienceFictioncivilization naturaldisaster endoftheworld disaster apocalypse destruction volcaniceruption mayan ark solar destructionofmankindColumbiaPictures CentropolisEntertainment TheMarkGordonCompany FarewellProductionsCanada UnitedStatesofAmerica,2012
60,GaryOldman JimCarrey SteveValentine DarylSabaraAnimation Dramaholiday basedonnovel victorianengland money christmaseve scrooge christmascarol ghost lesson charlesdickens christmasWaltDisney ImageMoversUnitedStatesofAmerica,A Christmas Carol
61,MilaKunis ChanningTatum SeanBean EddieRedmayneScienceFiction Fantasy Action Adventurejupiter space womandirector 3d interspeciesromanceVillageRoadshowPictures DuneEntertainment AnarchosProductions WarnerBros.UnitedStatesofAmerica,Jupiter Ascending
62,AlexanderSkarsgård MargotRobbie ChristophWaltz SamuelL.JacksonAction Adventureafrica feralchild tarzan jungle animalattackVillageRoadshowPictures DarkHorseEntertainment JerryWeintraubProductions RatPac-DuneEntertainment BeaglePugFilms RicheProductions VillageRoadshowFilmsNorthAmericaCanada UnitedKingdom UnitedStatesofAmerica,The Legend of Tarzan
63,WilliamMoseley AnnaPopplewell SkandarKeynes GeorgieHenleyAdventure Family Fantasysavingtheworld witch basedonnovel brothersisterrelationship selfsacrifice winter cupboard beaver lion fairy-talefigure battle narnia fantasyworld duringcreditsstingerWaltDisney WaldenMediaUnitedKingdom UnitedStatesofAmerica,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
64,JamesMcAvoy MichaelFassbender JenniferLawrence NicholasHoultScienceFictionmutant supernaturalpowers marvelcomic superhero basedoncomicbook superhuman apocalypse superheroteam worlddomination aftercreditsstinger 1980sTwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment KinbergGenreUnitedStatesofAmerica,X-Men: Apocalypse
65,ChristianBale HeathLedger AaronEckhart MichaelCaineDrama Action Crime Thrillerdccomics crimefighter secretidentity scarecrow sadism chaos gothamcity vigilante joker superhero basedoncomicbook tragichero organizedcrime criminalmastermind districtattorney imax supervillain superpowers batmanDCComics LegendaryPictures WarnerBros. DCEntertainment SyncopyUnitedKingdom UnitedStatesofAmerica,The Dark Knight
66,EdAsner ChristopherPlummer JordanNagai BobPetersonAnimation Comedy Family Adventureagedifference centralandsouthamerica balloon animation floatingintheair duringcreditsstinger exploringPixarAnimationStudiosUnitedStatesofAmerica,Up
67,SethRogen ReeseWitherspoon HughLaurie PaulRuddAnimation Family Adventure ScienceFictionalien giantrobot duringcreditsstingerDreamWorksAnimationUnitedStatesofAmerica,Monsters vs Aliens
68,RobertDowneyJr. TerrenceHoward JeffBridges ShaunToubAction ScienceFiction Adventuremiddleeast armsdealer malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse counterterrorism agentcoulsonMarvelStudiosUnitedStatesofAmerica,Iron Man
69,BenKingsley SachaBaronCohen AsaButterfield ChloëGraceMoretzAdventure Drama Familylibrary clock filmdirector key toy boy love orphan robot automaton hiding filmmaking legbrace doberman 3dParamountPictures InfinitumNihil GKFilmsFrance UnitedStatesofAmerica UnitedKingdom,Hugo
70,WillSmith KevinKline KennethBranagh SalmaHayekAction Adventure Comedy ScienceFiction Westernsteampunk basedontvseries steamlocomotive dragTodman Simon LeMastersProductions WarnerBros. PetersEntertainment SonnenfeldJosephsonWorldwideEntertainmentUnitedStatesofAmerica,Wild Wild West
71,BrendanFraser JetLi JohnHannah MariaBelloAdventure Action FantasynanUniversalPictures ChinaFilmCo-ProductionCorporation RelativityMedia AlphavilleFilms SommersCompany TheGermany UnitedStatesofAmerica,The Mummy: Tomb of the Dragon Emperor
72,WillSmith MargotRobbie JoelKinnaman ViolaDavisAction Adventure Crime Fantasy ScienceFictiondccomics shareduniverse antihero secretmission villain superhero supervillain dcextendeduniverseDCComics DuneEntertainment AtlasEntertainment WarnerBros. DCEntertainmentUnitedStatesofAmerica,Suicide Squad
73,SteveCarell LaurenGraham JohnGoodman JimmyBennettFantasy Comedy Familyfathersonrelationship dailylife marriedcouple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah'sarkColumbiaPictures UniversalPictures SpyglassEntertainment ShadyAcresEntertainment OriginalFilm Playtone RelativityMediaUnitedStatesofAmerica,Evan Almighty
74,TomCruise EmilyBlunt BrendanGleeson BillPaxtonAction ScienceFictiondejavu timewarp restart dystopia war alien militaryofficer soldier alieninvasion exoskeletonVillageRoadshowPictures WarnerBros. VizMedia ProvinceofBritishColumbiaProductionServicesTaxCredit 3ArtsEntertainment RatPac-DuneEntertainmentAustralia UnitedStatesofAmerica,Edge of Tomorrow
75,KevinCostner ChaimGirafi RickAviles R.D.CallAdventure Actionocean tattoo mutant water dystopia doomsdayUniversalPictures GordonCompany DavisEntertainment Licht/MuellerFilmCorporationUnitedStatesofAmerica,Waterworld
76,DennisQuaid ChanningTatum MarlonWayans SiennaMillerAdventure Action Thriller ScienceFictionterrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobraParamountPictures SpyglassEntertainment DiBonaventuraPictures Hasbro KontseptFilmCompanyCzechRepublic UnitedStatesofAmerica,G.I. Joe: The Rise of Cobra
77,AmyPoehler PhyllisSmith RichardKind BillHaderDrama Comedy Animation Familydream cartoon imaginaryfriend animation family moving kids unicorn duringcreditsstinger 3d emotionsWaltDisneyPictures PixarAnimationStudiosUnitedStatesofAmerica,Inside Out
78,NeelSethi BillMurray BenKingsley IdrisElbaFamily Adventure Drama Fantasybasedonnovel snake wolf elephant tiger feralchild panther remake bear jungle talkinganimal orphan animal talkingtoanimalsWaltDisneyPictures WaltDisneyStudiosMotionPictures FairviewEntertainment MovingPictureCompany(MPC)UnitedKingdom UnitedStatesofAmerica,The Jungle Book
79,RobertDowneyJr. GwynethPaltrow DonCheadle ScarlettJohanssonAdventure Action ScienceFictionmalibu marvelcomic superhero basedoncomicbook revenge aftercreditsstinger marvelcinematicuniverseMarvelStudiosUnitedStatesofAmerica,Iron Man 2
80,KristenStewart CharlizeTheron ChrisHemsworth SamClaflinAdventure Fantasy Dramaqueen magic fairytale immortality forest deception woman eternalyouth snowwhite evilqueen evilstepmother imprisoned sorceressUniversalPictures RothFilmsUnitedStatesofAmerica,Snow White and the Huntsman
81,AngelinaJolie ElleFanning SharltoCopley SamRileyFantasy Adventure Action Family Romancefairytale villain sleepingbeauty darkfantasy basedonfairytale adaptation retelling literaryadaptation 3dWaltDisneyPictures WaltDisneyStudiosMotionPictures RothFilmsUnitedStatesofAmerica,Maleficent
82,AndySerkis JasonClarke GaryOldman KeriRussellScienceFiction Action Drama Thrillerleader colony post-apocalyptic dystopia forest sequel woods ape scientist monkey medicalresearch animalattack plague 3dIngeniousMedia CherninEntertainment TSGEntertainmentUnitedStatesofAmerica,Dawn of the Planet of the Apes
83,JoshHartnett SimoneKessell TamsinEgerton AliceEnglertAction Adventure ScienceFiction RomancenanCorsan BlissMedia LimelightInternationalMediaEntertainment NeelmudraEntertainment AristosFilms SingularityProductions WildkiteAustralia Belgium India,The Lovers
84,KeanuReeves HiroyukiSanada KouShibasaki TadanobuAsanoDrama Action Adventure Fantasyjapan suicide samurai basedontruestory samuraisword ronin shogun halfbreed 3dMidAtlanticFilms StuberProductions Universal MovingPictureCompany(MPC) H2FEntertainmentUnitedStatesofAmerica,47 Ronin
85,ChrisEvans SamuelL.Jackson ScarlettJohansson RobertRedfordAction Adventure ScienceFictionwashingtond.c. future shield marvelcomic superhero basedoncomicbook captainamerica aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d politicalthrillerMarvelStudiosUnitedStatesofAmerica,Captain America: The Winter Soldier
86,MikeMyers EddieMurphy CameronDiaz AntonioBanderasComedy Adventure Fantasy Animation Familyogre 3dDreamWorksAnimationUnitedStatesofAmerica,Shrek Forever After
87,BrittRobertson GeorgeClooney RaffeyCassidy ThomasRobinsonAdventure Family Mystery ScienceFictioninventor apocalypse destiny imax dreamer futuristiccar futuristiccityWaltDisneyPictures Babieka A113UnitedStatesofAmerica,Tomorrowland
88,ScottAdsit RyanPotter DanielHenney T.J.MillerAdventure Family Animation Action Comedybrotherbrotherrelationship hero talent revenge bestfriend anotherdimension robot boygenius hate aftercreditsstinger moraldilemma 3d teensuperheroes deadbrotherWaltDisneyPictures WaltDisneyAnimationStudiosUnitedStatesofAmerica,Big Hero 6
89,JohnC.Reilly SarahSilverman JackMcBrayer JaneLynchFamily Animation Comedy Adventuresupportgroup productplacement bullying racing arcade medal selfesteem curiosity precociouschild aftercreditsstinger duringcreditsstinger firstpersonshooter glitch carefree videogamer q*bert interruptedwedding socialrejectWaltDisneyAnimationStudiosUnitedStatesofAmerica,Wreck-It Ralph
90,TomHanks MichaelJeter NonaGaye PeterScolariAdventure Animation Family Fantasysantaclaus nerd faith gift bell beard northpole chute trestle ticket christmasGoldenMean Playtone ImageMoversUnitedStatesofAmerica,The Polar Express
91,LiamHemsworth JeffGoldblum BillPullman MaikaMonroeAction Adventure ScienceFictionalternatehistory alieninvasionTwentiethCenturyFoxFilmCorporation CentropolisEntertainment TSGEntertainment StereoDUnitedStatesofAmerica,Independence Day: Resurgence
92,JayBaruchel GerardButler CraigFerguson AmericaFerreraFantasy Adventure Animation Familyflying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warriorDreamWorksAnimation VertigoEntertainment MadHatterEntertainmentUnitedStatesofAmerica,How to Train Your Dragon
93,ArnoldSchwarzenegger NickStahl ClaireDanes KristannaLokenAction Thriller ScienceFictionsavingtheworld artificialintelligence manvsmachine cyborg killerrobot sunglasses leatherjacket nanotechnology rocketlauncher firemen veterinarian fireengine dystopia psychiatristColumbiaPictures IntermediaFilms WarnerBros. C-2Pictures IMFInternationaleMedienundFilmGmbH&Co.3.ProduktionsKG Mostow/LiebermanProductionsGermany UnitedKingdom UnitedStatesofAmerica,Terminator 3: Rise of the Machines
