,0,titles,urls
10,BrandonRouth KevinSpacey KateBosworth JamesMarsdenAdventure Fantasy Action ScienceFictionsavingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthorDCComics LegendaryPictures WarnerBros. BadHatHarryProductionsUnitedStatesofAmerica,superman returns,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.1u9Ttr2EL5kjEXpxEdmCFwHaKY%26pid%3D15.1&f=1
11,DanielCraig OlgaKurylenko MathieuAmalric JudiDenchAdventure Action Thriller Crimekilling undercover secretagent britishsecretserviceEonProductionsUnitedKingdom UnitedStatesofAmerica,quantum of solace,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.Ych01EOf3wgOwj-ZMfXX3AHaFj%26pid%3D15.1&f=1
12,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgårdAdventure Fantasy Actionwitch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstingerWaltDisneyPictures JerryBruckheimerFilms SecondMateProductionsJamaica UnitedStatesofAmerica Bahamas Dominica,pirates of the caribbean: dead man's chest,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.x8SEneZ_2Ajny7hDNnTISAHaLH%26pid%3D15.1&f=1
13,JohnnyDepp ArmieHammer WilliamFichtner HelenaBonhamCarterAction Adventure Westerntexas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tontoWaltDisneyPictures JerryBruckheimerFilms InfinitumNihil SilverBulletProductions(II) BlindWinkProductions ClassicMediaUnitedStatesofAmerica,the lone ranger,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Sna0D6uO3DM_BAgph5aAsQHaLH%26pid%3D15.1&f=1
14,HenryCavill AmyAdams MichaelShannon KevinCostnerAction Adventure Fantasy ScienceFictionsavingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverseLegendaryPictures WarnerBros. DCEntertainment Syncopy CruelandUnusualFilmsUnitedKingdom UnitedStatesofAmerica,man of steel,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.PuuXjd6oRYt1hUHcb1yOsgHaK8%26pid%3D15.1&f=1
15,BenBarnes WilliamMoseley AnnaPopplewell SkandarKeynesAdventure Family Fantasybasedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworldWaltDisney WaldenMedia StillkingFilms OzumiFilms Propeler SilverbellFilms RevolutionSunStudiosCzechRepublic Poland Slovenia UnitedStatesofAmerica,the chronicles of narnia: prince caspian,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.lwJi5YjojMYzOhgetro4cAHaK8%26pid%3D15.1&f=1
16,RobertDowneyJr. ChrisEvans MarkRuffalo ChrisHemsworthScienceFiction Action Adventurenewyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverseParamountPictures MarvelStudiosUnitedStatesofAmerica,the avengers,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.NVGB97B5QwrJ-Z2JsM-nHwHaDt%26pid%3D15.1&f=1
17,JohnnyDepp PenélopeCruz IanMcShane KevinMcNallyAdventure Action Fantasysea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3dWaltDisneyPictures JerryBruckheimerFilms MovingPictureCompany(MPC)UnitedStatesofAmerica,pirates of the caribbean: on stranger tides,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.hWEdv6ukcIcrXDky34N6PQHaK-%26pid%3D15.1&f=1
18,WillSmith TommyLeeJones JoshBrolin MichaelStuhlbargAction Comedy ScienceFictiontimetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistoryAmblinEntertainment MediaMagikEntertainment ImagenationAbuDhabiFZ HemisphereMediaCapital Parkes/MacDonaldProductionsUnitedStatesofAmerica,men in black 3,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.QGiDHWkbwsdOwq7RPlJQWAHaKx%26pid%3D15.1&f=1
19,MartinFreeman IanMcKellen RichardArmitage KenStottAction Adventure Fantasycorruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorceryWingNutFilms NewLineCinema WarnerBros.Pictures 3Foot7 Metro-Goldwyn-Mayer(MGM)NewZealand UnitedStatesofAmerica,the hobbit: the battle of the five armies,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.JwqBw_rhugvf7nsFGzlU9gHaKy%26pid%3D15.1&f=1
20,AndrewGarfield EmmaStone RhysIfans DenisLearyAction Adventure Fantasylossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstingerColumbiaPictures LauraZiskinProductions MarvelEntertainmentUnitedStatesofAmerica,the amazing spider-man,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.aj1FQKJ5PdbKzkV5n1a4cQHaLH%26pid%3D15.1&f=1
21,RussellCrowe CateBlanchett MaxvonSydow WilliamHurtAction Adventurerobinhood archer knight sherwoodforest bowandarrow middleages medieval kingofenglandImagineEntertainment UniversalPictures ScottFreeProductions RelativityMediaUnitedKingdom UnitedStatesofAmerica,robin hood,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.00wjOECsRDXom142hHEvPgHaEK%26pid%3D15.1&f=1
22,MartinFreeman IanMcKellen RichardArmitage KenStottAdventure Fantasyelves dwarves orcs hobbit dragon wizard swordandsorceryWingNutFilms NewLineCinema WarnerBros.Pictures Metro-Goldwyn-Mayer(MGM)NewZealand UnitedStatesofAmerica,the hobbit: the desolation of smaug,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.FQguPkza1zRtUPQ5fJTV7QHaK9%26pid%3D15.1&f=1
23,DakotaBlueRichards NicoleKidman DanielCraig SamElliottAdventure Fantasyengland compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovelNewLineCinema IngeniousFilmPartners DepthofField ScholasticProductionsUnitedKingdom UnitedStatesofAmerica,the golden compass,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.8SR2_L0onuFzfM2QgL1l7AHaLH%26pid%3D15.1&f=1
24,NaomiWatts JackBlack AdrienBrody ThomasKretschmannAdventure Drama Actionfilmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaurWingNutFilms UniversalPictures BigPrimatePictures MFPVFilmNewZealand UnitedStatesofAmerica Germany,king kong,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.WChX1XOWPw5N99nnjA-QqQHaK_%26pid%3D15.1&f=1
25,KateWinslet LeonardoDiCaprio FrancesFisher BillyZaneDrama Romance Thrillershipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910sParamountPictures TwentiethCenturyFoxFilmCorporation LightstormEntertainmentUnitedStatesofAmerica,titanic,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.Kzal6IHZDaH868EOuS-qXgHaLH%26pid%3D15.1&f=1
26,ChrisEvans RobertDowneyJr. ScarlettJohansson SebastianStanAdventure Action ScienceFictioncivilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3dStudioBabelsberg MarvelStudios WaltDisneyStudiosMotionPictures Vita-RayDutchProductions(III) DeluxeDigitalStudiosUnitedStatesofAmerica,captain america: civil war,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.0KFJ6RtLd4FT1lXaTFdXcgHaEK%26pid%3D15.1&f=1
27,TaylorKitsch AlexanderSkarsgård Rihanna BrooklynDeckerThriller Action Adventure ScienceFictionfight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouriUniversalPictures Hasbro BluegrassFilms Film44UnitedStatesofAmerica,battleship,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.YhsiVRZ-UPlvdF-LeMhZZQHaLH%26pid%3D15.1&f=1
28,ChrisPratt BryceDallasHoward IrrfanKhan VincentD'OnofrioAction Adventure ScienceFiction Thrillermonster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorrorUniversalStudios AmblinEntertainment LegendaryPictures FujiTelevisionNetwork DentsuUnitedStatesofAmerica,jurassic world,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.FJirsn3Yxm80zz-v90rKsgHaLU%26pid%3D15.1&f=1
29,DanielCraig JudiDench JavierBardem RalphFiennesAction Adventure Thrillerspy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macaoColumbiaPicturesUnitedKingdom UnitedStatesofAmerica,skyfall,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.6vix-CJ6aWrUlRUEkCdZSwAAAA%26pid%3D15.1&f=1
30,TobeyMaguire KirstenDunst JamesFranco AlfredMolinaAction Adventure Fantasydualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillainColumbiaPictures LauraZiskinProductions MarvelEnterprisesUnitedStatesofAmerica,spider-man 2,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.S6HhM6w48Q_GNZhRT19TXgHaLH%26pid%3D15.1&f=1
31,RobertDowneyJr. GwynethPaltrow DonCheadle GuyPearceAction Adventure ScienceFictionterrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremisMarvelStudiosChina UnitedStatesofAmerica,iron man 3,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.XbpUnMtlGEI6FkFltyvydgHaK-%26pid%3D15.1&f=1
32,MiaWasikowska JohnnyDepp AnneHathaway HelenaBonhamCarterFamily Fantasy Adventurebasedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3dWaltDisneyPictures TeamTodd TimBurtonProductions RothFilms ZanuckCompany TheUnitedStatesofAmerica,alice in wonderland,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.SXAYDv7BwjYe_1yHziJ1wwAAAA%26pid%3D15.1&f=1
33,HughJackman HalleBerry IanMcKellen PatrickStewartAdventure Action ScienceFiction Thrillermutant marvelcomic basedoncomicbook superhuman beast cyclops aftercreditsstingerIngeniousFilmPartners TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment MajorStudioPartners BadHatHarryProductions thinkfilm MarvelEnterprises X3CanadaProductions X3USProductions XM3ServiceCanada UnitedKingdom UnitedStatesofAmerica,x-men: the last stand,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.c1awF4Fxrt5kTfFGu1R4KgHaLH%26pid%3D15.1&f=1
34,BillyCrystal JohnGoodman SteveBuscemi HelenMirrenAnimation Familymonster dormitory games animation bestfriend university scary aftercreditsstingerWaltDisneyPictures PixarAnimationStudiosUnitedStatesofAmerica,monsters university,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.RGOy-56Wqlbof5zJ_zGuswHaEo%26pid%3D15.1&f=1
35,ShiaLaBeouf MeganFox JoshDuhamel RainnWilsonScienceFiction Action Adventureegypt sun chaos symbol artifact transformers tank robot imax duringcreditsstingerParamountPictures DreamWorksSKG AmblinEntertainment DiBonaventuraPictures PlatinumDunes HasbroStudios RevolutionSunStudiosUnitedStatesofAmerica,transformers: revenge of the fallen,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.qKNM9xbt9CJHE2ubg44MqAHaLH%26pid%3D15.1&f=1
36,MarkWahlberg StanleyTucci KelseyGrammer NicolaPeltzScienceFiction Action Adventuresequel alien transformers giantrobot robot imax transformingrobotParamountPictures AmblinEntertainment DiBonaventuraPictures PlatinumDunes ChinaMovieChannel HasbroStudios IanBryceProductions RevolutionSunStudiosUnitedStatesofAmerica,transformers: age of extinction,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.bX56ROyBi8Yx8VfrOQRGZgHaLj%26pid%3D15.1&f=1
37,JamesFranco MilaKunis RachelWeisz MichelleWilliamsFantasy Adventure Familycircus witch magic hope illusion lost magictrick wizard 3dWaltDisneyPictures RothFilmsUnitedStatesofAmerica,oz: the great and powerful,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.0JpxU60SKVFSKWrQTjgTrwHaEo%26pid%3D15.1&f=1
38,AndrewGarfield EmmaStone JamieFoxx DaneDeHaanAction Adventure Fantasyobsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpowersColumbiaPictures MarvelEnterprises AviAradProductions MattTolmachProductionsUnitedStatesofAmerica,the amazing spider-man 2,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.HvZOwIes448wzzN_zYz2DwHaLH%26pid%3D15.1&f=1
39,GarrettHedlund JeffBridges OliviaWilde BruceBoxleitnerAdventure Action ScienceFictionartificialintelligence secretidentity computerprogram dystopia computer deception duel motorcycle neonlight autocracyWaltDisneyPictures LivePlanet PranaStudios SeanBaileyProductions RevolutionSunStudios KontseptFilmCompanyUnitedStatesofAmerica,tron: legacy,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.ARn_dgkeMf_8AMmiVyALUAHaKb%26pid%3D15.1&f=1
40,OwenWilson LarrytheCableGuy MichaelCaine EmilyMortimerAnimation Family Adventure Comedycarrace sequel comedy anthropomorphism bestfriend duringcreditsstingerWaltDisneyPictures PixarAnimationStudiosUnitedStatesofAmerica,cars 2,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.--b7Cgnxv__7FKx_i4ITXAHaK9%26pid%3D15.1&f=1
41,RyanReynolds BlakeLively PeterSarsgaard TimRobbinsAdventure Action Thriller ScienceFictiondccomics transformation superhero alien alieninfection magicalobject protector superpowers origin 3dDeLinePictures WarnerBros. DCEntertainmentUnitedStatesofAmerica,green lantern,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.-V4UTZhUdjXm7BpUWdmDMAHaK9%26pid%3D15.1&f=1
42,TomHanks TimAllen NedBeatty JoanCusackAnimation Family Comedyhostage college toy barbie animation escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife toystoryWaltDisneyPictures PixarAnimationStudiosUnitedStatesofAmerica,toy story 3,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.PeCq3CVsyBwTiGYRHiTu-QHaKj%26pid%3D15.1&f=1
43,ChristianBale SamWorthington AntonYelchin MoonBloodgoodAction ScienceFiction Thrillersavingtheworld artificialintelligence prophecy sanfrancisco cyborg killerrobot gasstation post-apocalyptic dystopia army firearm wartime losangelesColumbiaPictures TheHalcyonCompany WonderlandSoundandVision WarnerBros.Germany Italy UnitedKingdom UnitedStatesofAmerica,terminator salvation,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.iVWvgs3Uvtv24kO4d03DkAHaMs%26pid%3D15.1&f=1
44,VinDiesel PaulWalker DwayneJohnson MichelleRodriguezActioncarrace speed revenge suspense car race musclecarUniversalPictures OriginalFilm FujiTelevisionNetwork Dentsu OneRaceFilms ChinaFilmCo. QuébecProductionServicesTaxCredit MediaRightsCapital(MRC) AbuDhabiFilmCommission ColoradoOfficeofFilm Television&MediaJapan UnitedStatesofAmerica,furious 7,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.2GRIb8DggD6vf4aSm-pgcwHaLv%26pid%3D15.1&f=1
45,BradPitt MireilleEnos AbigailHargrove SterlingJerinsAction Drama Horror ScienceFiction Thrillerdystopia apocalypse zombie nuclearweapons multipleperspectives zombieapocalypseParamountPictures GKFilms SkydanceProductions HemisphereMediaCapital ApparatusProductions LatinaPictures 2DUX²UnitedStatesofAmerica Malta,world war z,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.iO2rOO6Fa4xSxZor3CTdegHaK-%26pid%3D15.1&f=1
46,HughJackman JamesMcAvoy MichaelFassbender JenniferLawrenceAction Adventure Fantasy ScienceFiction1970s mutant timetravel marvelcomic basedoncomicbook superhuman storm beast aftercreditsstinger changingthepastorfutureTwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment DownProductions RevolutionSunStudiosUnitedKingdom UnitedStatesofAmerica,x-men: days of future past,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP._Sark_HxgOjyKXYtbvsGCQHaEo%26pid%3D15.1&f=1
47,ChrisPine ZacharyQuinto ZoeSaldana KarlUrbanAction Adventure ScienceFictionspacecraft friendship sequel futuristic space alien imax spaceopera terroristbombing 3dParamountPictures SkydanceProductions BadRobot Kurtzman/OrciUnitedStatesofAmerica,star trek into darkness,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.BKgBTet1i2w3M5TRUZqyTQHaKg%26pid%3D15.1&f=1
48,NicholasHoult EleanorTomlinson EwanMcGregor StanleyTucciAction Family Fantasybasedonfairytale giantNewLineCinema OriginalFilm LegendaryPictures WarnerBros. BigKidPictures BadHatHarryProductionsUnitedStatesofAmerica,jack the giant slayer,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.kUwUb0uWCZqsUUdDMmWxdQHaLI%26pid%3D15.1&f=1
49,LeonardoDiCaprio TobeyMaguire CareyMulligan JoelEdgertonDrama Romancebasedonnovel infidelity obsession hope 3dVillageRoadshowPictures BazmarkFilms WarnerBros. A&ETelevisionNetworks RedWagonEntertainment SpectrumFilmsUnitedStatesofAmerica Australia,the great gatsby,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.CsZXLYuG3N0oFX5bK4LBCQHaLH%26pid%3D15.1&f=1
50,JakeGyllenhaal GemmaArterton BenKingsley AlfredMolinaAdventure Fantasy Action Romancepersia sandstorm brotheragainstbrother armageddon regent basedonvideogameWaltDisneyPictures JerryBruckheimerFilmsUnitedStatesofAmerica,prince of persia: the sands of time,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.P1x1xV99H5WL5983CfI86AHaLH%26pid%3D15.1&f=1
51,IdrisElba CharlieHunnam CharlieDay RonPerlmanAction ScienceFiction Adventuredystopia giantrobot giantmonster apocalypse imax duringcreditsstinger 3dLegendaryPictures WarnerBros. DisneyDoubleDareYou(DDY) IndochinaProductionsUnitedStatesofAmerica Canada,pacific rim,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.B_dicm3-cDtz2Y2p_GW2-QHaK9%26pid%3D15.1&f=1
52,ShiaLaBeouf JohnMalkovich KenJeong FrancesMcDormandAction ScienceFiction Adventuremoon spacecraft traitor bodyguard alienplanet basedoncartoon transformers giantrobot sabotage worddomination commando duringcreditsstingerParamountPictures DiBonaventuraPictures IndochinaProductions HasbroStudiosUnitedStatesofAmerica,transformers: dark of the moon,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.yQhPsv6XYH27P72RehXV9gHaK-%26pid%3D15.1&f=1
53,HarrisonFord CateBlanchett ShiaLaBeouf RayWinstoneAdventure Actionsavingtheworld riddle whip treasure mexicocity leatherjacket machinegun alienphenomenons mayacivilization peru treasurehunt nuclearexplosion refrigerator archaeologist indianajones archeology Lucasfilm ParamountPicturesUnitedStatesofAmerica,indiana jones and the kingdom of the crystal skull,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.0l0kTW2iSD93tnPFdJOSMAHaLH%26pid%3D15.1&f=1
54,RaymondOchoa JackBright JeffreyWright FrancesMcDormandAdventure Animation Familytyrannosaurusrex friends alternatehistory dinosaur fear storm nature human journeyWaltDisneyPictures PixarAnimationStudiosUnitedStatesofAmerica,the good dinosaur,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.NaneUJ2hGxecnQ_Oi9pE3AHaKj%26pid%3D15.1&f=1
55,KellyMacdonald JulieWalters BillyConnolly EmmaThompsonAnimation Adventure Comedy Family Action Fantasyscotland rebel bravery kingdom archer wish bear scot rebelliousdaughter turnsintoanimal archery ruins aftercreditsstinger peaceoffering womandirector courage 3dWaltDisneyPictures PixarAnimationStudiosUnitedStatesofAmerica,brave,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.KlKyNb-FiPXppR2mbO8hRwHaLH%26pid%3D15.1&f=1
