,0,titles
842,842.0,stuck on you
843,843.0,semi-pro
844,844.0,the pirates! in an adventure with scientists!
845,845.0,changeling
846,846.0,chain reaction
847,847.0,the fan
848,848.0,the phantom of the opera
849,849.0,elizabeth: the golden age
850,850.0,æon flux
851,851.0,gods and generals
852,852.0,turbulence
853,853.0,imagine that
854,854.0,muppets most wanted
855,855.0,thunderbirds
856,856.0,burlesque
857,857.0,un long dimanche de fiançailles
858,858.0,lolita
859,859.0,d-tox
860,860.0,blade ii
861,861.0,seven pounds
862,862.0,bullet to the head
863,863.0,the godfather: part iii
864,864.0,elizabethtown
865,865.0,"you, me and dupree"
866,866.0,superman ii
867,867.0,gigli
868,868.0,all the king's men
869,869.0,shaft
870,870.0,anastasia
871,871.0,moulin rouge!
872,872.0,domestic disturbance
873,873.0,black mass
874,874.0,flags of our fathers
875,875.0,law abiding citizen
876,876.0,grindhouse
877,877.0,beloved
878,878.0,lucky you
879,879.0,catch me if you can
880,880.0,zero dark thirty
881,881.0,the break-up
882,882.0,mamma mia!
883,883.0,valentine's day
884,884.0,the dukes of hazzard
885,885.0,the thin red line
886,886.0,the change-up
887,887.0,man on the moon
888,888.0,casino
889,889.0,from paris with love
890,890.0,bulletproof monk
891,891.0,"me, myself & irene"
892,892.0,barnyard
893,893.0,deck the halls
894,894.0,the twilight saga: new moon
895,895.0,shrek
896,896.0,the adjustment bureau
897,897.0,robin hood: prince of thieves
898,898.0,jerry maguire
899,899.0,ted
900,900.0,as good as it gets
901,901.0,patch adams
902,902.0,anchorman 2: the legend continues
903,903.0,mr. deeds
904,904.0,super 8
905,905.0,erin brockovich
906,906.0,how to lose a guy in 10 days
907,907.0,22 jump street
908,908.0,interview with the vampire
909,909.0,yes man
910,910.0,central intelligence
911,911.0,stepmom
912,912.0,daddy's home
913,913.0,into the woods
914,914.0,inside man
915,915.0,payback
916,916.0,congo
917,917.0,we bought a zoo
918,918.0,knowing
919,919.0,failure to launch
920,920.0,the ring two
921,921.0,"crazy, stupid, love."
922,922.0,garfield
923,923.0,christmas with the kranks
924,924.0,moneyball
925,925.0,outbreak
926,926.0,non-stop
927,927.0,race to witch mountain
928,928.0,v for vendetta
929,929.0,shanghai knights
930,930.0,curious george
931,931.0,herbie fully loaded
932,932.0,don't say a word
933,933.0,hansel & gretel: witch hunters
934,934.0,unfaithful
935,935.0,i am number four
936,936.0,syriana
937,937.0,13 hours: the secret soldiers of benghazi
938,938.0,the book of life
939,939.0,firewall
940,940.0,absolute power
941,941.0,g.i. jane
942,942.0,the game
943,943.0,silent hill
944,944.0,the replacements
945,945.0,american reunion
946,946.0,the negotiator
947,947.0,into the storm
948,948.0,beverly hills cop iii
949,949.0,gremlins 2: the new batch
950,950.0,the judge
951,951.0,the peacemaker
952,952.0,resident evil: apocalypse
953,953.0,bridget jones: the edge of reason
954,954.0,out of time
955,955.0,on deadly ground
956,956.0,the adventures of sharkboy and lavagirl
957,957.0,the beach
958,958.0,raising helen
959,959.0,ninja assassin
960,960.0,for love of the game
961,961.0,striptease
962,962.0,marmaduke
963,963.0,hereafter
964,964.0,murder by numbers
965,965.0,assassins
966,966.0,hannibal rising
967,967.0,the story of us
968,968.0,the host
969,969.0,basic
970,970.0,blood work
971,971.0,the international
972,972.0,escape from l.a.
973,973.0,the iron giant
974,974.0,the life aquatic with steve zissou
975,975.0,free state of jones
976,976.0,the life of david gale
977,977.0,man of the house
978,978.0,run all night
979,979.0,eastern promises
980,980.0,into the blue
981,981.0,joan of arc
982,982.0,your highness
983,983.0,dream house
984,984.0,mad city
985,985.0,baby's day out
986,986.0,the scarlet letter
987,987.0,fair game
988,988.0,domino
989,989.0,jade
990,990.0,gamer
991,991.0,beautiful creatures
992,992.0,death to smoochy
993,993.0,zoolander 2
994,994.0,the big bounce
995,995.0,what planet are you from?
996,996.0,drive angry
997,997.0,street fighter: the legend of chun-li
998,998.0,the one
999,999.0,the adventures of ford fairlane
1000,1000.0,the boat that rocked
1001,1001.0,traffic
1002,1002.0,indiana jones and the last crusade
1003,1003.0,anna karenina
1004,1004.0,chappie
1005,1005.0,the bone collector
1006,1006.0,panic room
1007,1007.0,the tooth fairy
1008,1008.0,three kings
1009,1009.0,child 44
1010,1010.0,rat race
1011,1011.0,k-pax
1012,1012.0,kate & leopold
1013,1013.0,bedazzled
1014,1014.0,the cotton club
1015,1015.0,3:10 to yuma
1016,1016.0,taken 3
1017,1017.0,out of sight
1018,1018.0,the cable guy
1019,1019.0,1947: earth
1020,1020.0,dick tracy
1021,1021.0,the thomas crown affair
1022,1022.0,riding in cars with boys
1023,1023.0,first blood
1024,1024.0,солярис
1025,1025.0,happily n'ever after
1026,1026.0,mary reilly
1027,1027.0,my best friend's wedding
1028,1028.0,america's sweethearts
1029,1029.0,insomnia
1030,1030.0,star trek: first contact
1031,1031.0,jonah hex
1032,1032.0,courage under fire
1033,1033.0,liar liar
1034,1034.0,the infiltrator
1035,1035.0,inchon
1036,1036.0,the flintstones
1037,1037.0,taken 2
1038,1038.0,scary movie 3
1039,1039.0,miss congeniality
1040,1040.0,journey to the center of the earth
1041,1041.0,the princess diaries 2: royal engagement
1042,1042.0,the pelican brief
1043,1043.0,the client
1044,1044.0,the bucket list
1045,1045.0,patriot games
1046,1046.0,monster-in-law
1047,1047.0,prisoners
1048,1048.0,training day
1049,1049.0,galaxy quest
1050,1050.0,scary movie 2
1051,1051.0,the muppets
1052,1052.0,blade
1053,1053.0,coach carter
1054,1054.0,changing lanes
1055,1055.0,anaconda
1056,1056.0,coyote ugly
1057,1057.0,love actually
1058,1058.0,a bug's life
1059,1059.0,from hell
1060,1060.0,the specialist
1061,1061.0,tin cup
1062,1062.0,"yours, mine and ours"
1063,1063.0,kicking & screaming
1064,1064.0,the hitchhiker's guide to the galaxy
1065,1065.0,fat albert
1066,1066.0,resident evil: extinction
1067,1067.0,blended
1068,1068.0,last holiday
1069,1069.0,the river wild
