,cast,genres,keywords,production_companies,production_countries,title
17,JohnnyDepp PenélopeCruz IanMcShane KevinMcNally,Adventure Action Fantasy,sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d,WaltDisneyPictures JerryBruckheimerFilms MovingPictureCompany(MPC),UnitedStatesofAmerica,Pirates of the Caribbean: On Stranger Tides
18,WillSmith TommyLeeJones JoshBrolin MichaelStuhlbarg,Action Comedy ScienceFiction,timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory,AmblinEntertainment MediaMagikEntertainment ImagenationAbuDhabiFZ HemisphereMediaCapital Parkes/MacDonaldProductions,UnitedStatesofAmerica,Men in Black 3
19,MartinFreeman IanMcKellen RichardArmitage KenStott,Action Adventure Fantasy,corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery,WingNutFilms NewLineCinema WarnerBros.Pictures 3Foot7 Metro-Goldwyn-Mayer(MGM),NewZealand UnitedStatesofAmerica,The Hobbit: The Battle of the Five Armies
20,AndrewGarfield EmmaStone RhysIfans DenisLeary,Action Adventure Fantasy,lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger,ColumbiaPictures LauraZiskinProductions MarvelEntertainment,UnitedStatesofAmerica,The Amazing Spider-Man
21,RussellCrowe CateBlanchett MaxvonSydow WilliamHurt,Action Adventure,robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland,ImagineEntertainment UniversalPictures ScottFreeProductions RelativityMedia,UnitedKingdom UnitedStatesofAmerica,Robin Hood
22,MartinFreeman IanMcKellen RichardArmitage KenStott,Adventure Fantasy,elves dwarves orcs hobbit dragon wizard swordandsorcery,WingNutFilms NewLineCinema WarnerBros.Pictures Metro-Goldwyn-Mayer(MGM),NewZealand UnitedStatesofAmerica,The Hobbit: The Desolation of Smaug
23,DakotaBlueRichards NicoleKidman DanielCraig SamElliott,Adventure Fantasy,england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel,NewLineCinema IngeniousFilmPartners DepthofField ScholasticProductions,UnitedKingdom UnitedStatesofAmerica,The Golden Compass
24,NaomiWatts JackBlack AdrienBrody ThomasKretschmann,Adventure Drama Action,filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur,WingNutFilms UniversalPictures BigPrimatePictures MFPVFilm,NewZealand UnitedStatesofAmerica Germany,King Kong
25,KateWinslet LeonardoDiCaprio FrancesFisher BillyZane,Drama Romance Thriller,shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s,ParamountPictures TwentiethCenturyFoxFilmCorporation LightstormEntertainment,UnitedStatesofAmerica,Titanic
26,ChrisEvans RobertDowneyJr. ScarlettJohansson SebastianStan,Adventure Action ScienceFiction,civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d,StudioBabelsberg MarvelStudios WaltDisneyStudiosMotionPictures Vita-RayDutchProductions(III) DeluxeDigitalStudios,UnitedStatesofAmerica,Captain America: Civil War
27,TaylorKitsch AlexanderSkarsgård Rihanna BrooklynDecker,Thriller Action Adventure ScienceFiction,fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri,UniversalPictures Hasbro BluegrassFilms Film44,UnitedStatesofAmerica,Battleship
28,ChrisPratt BryceDallasHoward IrrfanKhan VincentD'Onofrio,Action Adventure ScienceFiction Thriller,monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror,UniversalStudios AmblinEntertainment LegendaryPictures FujiTelevisionNetwork Dentsu,UnitedStatesofAmerica,Jurassic World
29,DanielCraig JudiDench JavierBardem RalphFiennes,Action Adventure Thriller,spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao,ColumbiaPictures,UnitedKingdom UnitedStatesofAmerica,Skyfall
30,TobeyMaguire KirstenDunst JamesFranco AlfredMolina,Action Adventure Fantasy,dualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain,ColumbiaPictures LauraZiskinProductions MarvelEnterprises,UnitedStatesofAmerica,Spider-Man 2
31,RobertDowneyJr. GwynethPaltrow DonCheadle GuyPearce,Action Adventure ScienceFiction,terrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremis,MarvelStudios,China UnitedStatesofAmerica,Iron Man 3
32,MiaWasikowska JohnnyDepp AnneHathaway HelenaBonhamCarter,Family Fantasy Adventure,basedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3d,WaltDisneyPictures TeamTodd TimBurtonProductions RothFilms ZanuckCompany The,UnitedStatesofAmerica,Alice in Wonderland
33,HughJackman HalleBerry IanMcKellen PatrickStewart,Adventure Action ScienceFiction Thriller,mutant marvelcomic basedoncomicbook superhuman beast cyclops aftercreditsstinger,IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment MajorStudioPartners BadHatHarryProductions thinkfilm MarvelEnterprises X3CanadaProductions X3USProductions XM3Service,Canada UnitedKingdom UnitedStatesofAmerica,X-Men: The Last Stand
34,BillyCrystal JohnGoodman SteveBuscemi HelenMirren,Animation Family,monster dormitory games animation bestfriend university scary aftercreditsstinger,WaltDisneyPictures PixarAnimationStudios,UnitedStatesofAmerica,Monsters University
35,ShiaLaBeouf MeganFox JoshDuhamel RainnWilson,ScienceFiction Action Adventure,egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger,ParamountPictures DreamWorksSKG AmblinEntertainment DiBonaventuraPictures PlatinumDunes HasbroStudios RevolutionSunStudios,UnitedStatesofAmerica,Transformers: Revenge of the Fallen
36,MarkWahlberg StanleyTucci KelseyGrammer NicolaPeltz,ScienceFiction Action Adventure,sequel alien transformers giantrobot robot imax transformingrobot,ParamountPictures AmblinEntertainment DiBonaventuraPictures PlatinumDunes ChinaMovieChannel HasbroStudios IanBryceProductions RevolutionSunStudios,UnitedStatesofAmerica,Transformers: Age of Extinction
37,JamesFranco MilaKunis RachelWeisz MichelleWilliams,Fantasy Adventure Family,circus witch magic hope illusion lost magictrick wizard 3d,WaltDisneyPictures RothFilms,UnitedStatesofAmerica,Oz: The Great and Powerful
38,AndrewGarfield EmmaStone JamieFoxx DaneDeHaan,Action Adventure Fantasy,obsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpowers,ColumbiaPictures MarvelEnterprises AviAradProductions MattTolmachProductions,UnitedStatesofAmerica,The Amazing Spider-Man 2
39,GarrettHedlund JeffBridges OliviaWilde BruceBoxleitner,Adventure Action ScienceFiction,artificialintelligence secretidentity computerprogram dystopia computer deception duel motorcycle neonlight autocracy,WaltDisneyPictures LivePlanet PranaStudios SeanBaileyProductions RevolutionSunStudios KontseptFilmCompany,UnitedStatesofAmerica,TRON: Legacy
40,OwenWilson LarrytheCableGuy MichaelCaine EmilyMortimer,Animation Family Adventure Comedy,carrace sequel comedy anthropomorphism bestfriend duringcreditsstinger,WaltDisneyPictures PixarAnimationStudios,UnitedStatesofAmerica,Cars 2
41,RyanReynolds BlakeLively PeterSarsgaard TimRobbins,Adventure Action Thriller ScienceFiction,dccomics transformation superhero alien alieninfection magicalobject protector superpowers origin 3d,DeLinePictures WarnerBros. DCEntertainment,UnitedStatesofAmerica,Green Lantern
42,TomHanks TimAllen NedBeatty JoanCusack,Animation Family Comedy,hostage college toy barbie animation escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife toystory,WaltDisneyPictures PixarAnimationStudios,UnitedStatesofAmerica,Toy Story 3
43,ChristianBale SamWorthington AntonYelchin MoonBloodgood,Action ScienceFiction Thriller,savingtheworld artificialintelligence prophecy sanfrancisco cyborg killerrobot gasstation post-apocalyptic dystopia army firearm wartime losangeles,ColumbiaPictures TheHalcyonCompany WonderlandSoundandVision WarnerBros.,Germany Italy UnitedKingdom UnitedStatesofAmerica,Terminator Salvation
44,VinDiesel PaulWalker DwayneJohnson MichelleRodriguez,Action,carrace speed revenge suspense car race musclecar,UniversalPictures OriginalFilm FujiTelevisionNetwork Dentsu OneRaceFilms ChinaFilmCo. QuébecProductionServicesTaxCredit MediaRightsCapital(MRC) AbuDhabiFilmCommission ColoradoOfficeofFilm Television&Media,Japan UnitedStatesofAmerica,Furious 7
45,BradPitt MireilleEnos AbigailHargrove SterlingJerins,Action Drama Horror ScienceFiction Thriller,dystopia apocalypse zombie nuclearweapons multipleperspectives zombieapocalypse,ParamountPictures GKFilms SkydanceProductions HemisphereMediaCapital ApparatusProductions LatinaPictures 2DUX²,UnitedStatesofAmerica Malta,World War Z
46,HughJackman JamesMcAvoy MichaelFassbender JenniferLawrence,Action Adventure Fantasy ScienceFiction,1970s mutant timetravel marvelcomic basedoncomicbook superhuman storm beast aftercreditsstinger changingthepastorfuture,TwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment DownProductions RevolutionSunStudios,UnitedKingdom UnitedStatesofAmerica,X-Men: Days of Future Past
47,ChrisPine ZacharyQuinto ZoeSaldana KarlUrban,Action Adventure ScienceFiction,spacecraft friendship sequel futuristic space alien imax spaceopera terroristbombing 3d,ParamountPictures SkydanceProductions BadRobot Kurtzman/Orci,UnitedStatesofAmerica,Star Trek Into Darkness
48,NicholasHoult EleanorTomlinson EwanMcGregor StanleyTucci,Action Family Fantasy,basedonfairytale giant,NewLineCinema OriginalFilm LegendaryPictures WarnerBros. BigKidPictures BadHatHarryProductions,UnitedStatesofAmerica,Jack the Giant Slayer
49,LeonardoDiCaprio TobeyMaguire CareyMulligan JoelEdgerton,Drama Romance,basedonnovel infidelity obsession hope 3d,VillageRoadshowPictures BazmarkFilms WarnerBros. A&ETelevisionNetworks RedWagonEntertainment SpectrumFilms,UnitedStatesofAmerica Australia,The Great Gatsby
50,JakeGyllenhaal GemmaArterton BenKingsley AlfredMolina,Adventure Fantasy Action Romance,persia sandstorm brotheragainstbrother armageddon regent basedonvideogame,WaltDisneyPictures JerryBruckheimerFilms,UnitedStatesofAmerica,Prince of Persia: The Sands of Time
51,IdrisElba CharlieHunnam CharlieDay RonPerlman,Action ScienceFiction Adventure,dystopia giantrobot giantmonster apocalypse imax duringcreditsstinger 3d,LegendaryPictures WarnerBros. DisneyDoubleDareYou(DDY) IndochinaProductions,UnitedStatesofAmerica Canada,Pacific Rim
52,ShiaLaBeouf JohnMalkovich KenJeong FrancesMcDormand,Action ScienceFiction Adventure,moon spacecraft traitor bodyguard alienplanet basedoncartoon transformers giantrobot sabotage worddomination commando duringcreditsstinger,ParamountPictures DiBonaventuraPictures IndochinaProductions HasbroStudios,UnitedStatesofAmerica,Transformers: Dark of the Moon
53,HarrisonFord CateBlanchett ShiaLaBeouf RayWinstone,Adventure Action,savingtheworld riddle whip treasure mexicocity leatherjacket machinegun alienphenomenons mayacivilization peru treasurehunt nuclearexplosion refrigerator archaeologist indianajones archeology ,Lucasfilm ParamountPictures,UnitedStatesofAmerica,Indiana Jones and the Kingdom of the Crystal Skull
54,RaymondOchoa JackBright JeffreyWright FrancesMcDormand,Adventure Animation Family,tyrannosaurusrex friends alternatehistory dinosaur fear storm nature human journey,WaltDisneyPictures PixarAnimationStudios,UnitedStatesofAmerica,The Good Dinosaur
55,KellyMacdonald JulieWalters BillyConnolly EmmaThompson,Animation Adventure Comedy Family Action Fantasy,scotland rebel bravery kingdom archer wish bear scot rebelliousdaughter turnsintoanimal archery ruins aftercreditsstinger peaceoffering womandirector courage 3d,WaltDisneyPictures PixarAnimationStudios,UnitedStatesofAmerica,Brave
56,ChrisPine ZacharyQuinto KarlUrban SimonPegg,Action Adventure ScienceFiction,sequel stranded hatred spaceopera,ParamountPictures BadRobot PerfectStormEntertainment AlibabaPicturesGroup SkydanceMedia SneakyShark HuahuaMedia,UnitedStatesofAmerica,Star Trek Beyond
57,BenBurtt ElissaKnight JeffGarlin FredWillard,Animation Family,romanticcomedy,WaltDisneyPictures PixarAnimationStudios FortyFourStudios,UnitedStatesofAmerica,WALL·E
58,ChrisTucker JackieChan HiroyukiSanada MaxvonSydow,Action Comedy Crime Thriller,ambassador,NewLineCinema,UnitedStatesofAmerica,Rush Hour 3
59,JohnCusack AmandaPeet ChiwetelEjiofor ThandieNewton,Action Adventure ScienceFiction,civilization naturaldisaster endoftheworld disaster apocalypse destruction volcaniceruption mayan ark solar destructionofmankind,ColumbiaPictures CentropolisEntertainment TheMarkGordonCompany FarewellProductions,Canada UnitedStatesofAmerica,2012
60,GaryOldman JimCarrey SteveValentine DarylSabara,Animation Drama,holiday basedonnovel victorianengland money christmaseve scrooge christmascarol ghost lesson charlesdickens christmas,WaltDisney ImageMovers,UnitedStatesofAmerica,A Christmas Carol
61,MilaKunis ChanningTatum SeanBean EddieRedmayne,ScienceFiction Fantasy Action Adventure,jupiter space womandirector 3d interspeciesromance,VillageRoadshowPictures DuneEntertainment AnarchosProductions WarnerBros.,UnitedStatesofAmerica,Jupiter Ascending
62,AlexanderSkarsgård MargotRobbie ChristophWaltz SamuelL.Jackson,Action Adventure,africa feralchild tarzan jungle animalattack,VillageRoadshowPictures DarkHorseEntertainment JerryWeintraubProductions RatPac-DuneEntertainment BeaglePugFilms RicheProductions VillageRoadshowFilmsNorthAmerica,Canada UnitedKingdom UnitedStatesofAmerica,The Legend of Tarzan
63,WilliamMoseley AnnaPopplewell SkandarKeynes GeorgieHenley,Adventure Family Fantasy,savingtheworld witch basedonnovel brothersisterrelationship selfsacrifice winter cupboard beaver lion fairy-talefigure battle narnia fantasyworld duringcreditsstinger,WaltDisney WaldenMedia,UnitedKingdom UnitedStatesofAmerica,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
64,JamesMcAvoy MichaelFassbender JenniferLawrence NicholasHoult,ScienceFiction,mutant supernaturalpowers marvelcomic superhero basedoncomicbook superhuman apocalypse superheroteam worlddomination aftercreditsstinger 1980s,TwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment KinbergGenre,UnitedStatesofAmerica,X-Men: Apocalypse
65,ChristianBale HeathLedger AaronEckhart MichaelCaine,Drama Action Crime Thriller,dccomics crimefighter secretidentity scarecrow sadism chaos gothamcity vigilante joker superhero basedoncomicbook tragichero organizedcrime criminalmastermind districtattorney imax supervillain superpowers batman,DCComics LegendaryPictures WarnerBros. DCEntertainment Syncopy,UnitedKingdom UnitedStatesofAmerica,The Dark Knight
66,EdAsner ChristopherPlummer JordanNagai BobPeterson,Animation Comedy Family Adventure,agedifference centralandsouthamerica balloon animation floatingintheair duringcreditsstinger exploring,PixarAnimationStudios,UnitedStatesofAmerica,Up
67,SethRogen ReeseWitherspoon HughLaurie PaulRudd,Animation Family Adventure ScienceFiction,alien giantrobot duringcreditsstinger,DreamWorksAnimation,UnitedStatesofAmerica,Monsters vs Aliens
68,RobertDowneyJr. TerrenceHoward JeffBridges ShaunToub,Action ScienceFiction Adventure,middleeast armsdealer malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse counterterrorism agentcoulson,MarvelStudios,UnitedStatesofAmerica,Iron Man
69,BenKingsley SachaBaronCohen AsaButterfield ChloëGraceMoretz,Adventure Drama Family,library clock filmdirector key toy boy love orphan robot automaton hiding filmmaking legbrace doberman 3d,ParamountPictures InfinitumNihil GKFilms,France UnitedStatesofAmerica UnitedKingdom,Hugo
70,WillSmith KevinKline KennethBranagh SalmaHayek,Action Adventure Comedy ScienceFiction Western,steampunk basedontvseries steamlocomotive drag,Todman Simon LeMastersProductions WarnerBros. PetersEntertainment SonnenfeldJosephsonWorldwideEntertainment,UnitedStatesofAmerica,Wild Wild West
71,BrendanFraser JetLi JohnHannah MariaBello,Adventure Action Fantasy,,UniversalPictures ChinaFilmCo-ProductionCorporation RelativityMedia AlphavilleFilms SommersCompany The,Germany UnitedStatesofAmerica,The Mummy: Tomb of the Dragon Emperor
72,WillSmith MargotRobbie JoelKinnaman ViolaDavis,Action Adventure Crime Fantasy ScienceFiction,dccomics shareduniverse antihero secretmission villain superhero supervillain dcextendeduniverse,DCComics DuneEntertainment AtlasEntertainment WarnerBros. DCEntertainment,UnitedStatesofAmerica,Suicide Squad
73,SteveCarell LaurenGraham JohnGoodman JimmyBennett,Fantasy Comedy Family,fathersonrelationship dailylife marriedcouple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah'sark,ColumbiaPictures UniversalPictures SpyglassEntertainment ShadyAcresEntertainment OriginalFilm Playtone RelativityMedia,UnitedStatesofAmerica,Evan Almighty
74,TomCruise EmilyBlunt BrendanGleeson BillPaxton,Action ScienceFiction,dejavu timewarp restart dystopia war alien militaryofficer soldier alieninvasion exoskeleton,VillageRoadshowPictures WarnerBros. VizMedia ProvinceofBritishColumbiaProductionServicesTaxCredit 3ArtsEntertainment RatPac-DuneEntertainment,Australia UnitedStatesofAmerica,Edge of Tomorrow
75,KevinCostner ChaimGirafi RickAviles R.D.Call,Adventure Action,ocean tattoo mutant water dystopia doomsday,UniversalPictures GordonCompany DavisEntertainment Licht/MuellerFilmCorporation,UnitedStatesofAmerica,Waterworld
76,DennisQuaid ChanningTatum MarlonWayans SiennaMiller,Adventure Action Thriller ScienceFiction,terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra,ParamountPictures SpyglassEntertainment DiBonaventuraPictures Hasbro KontseptFilmCompany,CzechRepublic UnitedStatesofAmerica,G.I. Joe: The Rise of Cobra
77,AmyPoehler PhyllisSmith RichardKind BillHader,Drama Comedy Animation Family,dream cartoon imaginaryfriend animation family moving kids unicorn duringcreditsstinger 3d emotions,WaltDisneyPictures PixarAnimationStudios,UnitedStatesofAmerica,Inside Out
78,NeelSethi BillMurray BenKingsley IdrisElba,Family Adventure Drama Fantasy,basedonnovel snake wolf elephant tiger feralchild panther remake bear jungle talkinganimal orphan animal talkingtoanimals,WaltDisneyPictures WaltDisneyStudiosMotionPictures FairviewEntertainment MovingPictureCompany(MPC),UnitedKingdom UnitedStatesofAmerica,The Jungle Book
79,RobertDowneyJr. GwynethPaltrow DonCheadle ScarlettJohansson,Adventure Action ScienceFiction,malibu marvelcomic superhero basedoncomicbook revenge aftercreditsstinger marvelcinematicuniverse,MarvelStudios,UnitedStatesofAmerica,Iron Man 2
80,KristenStewart CharlizeTheron ChrisHemsworth SamClaflin,Adventure Fantasy Drama,queen magic fairytale immortality forest deception woman eternalyouth snowwhite evilqueen evilstepmother imprisoned sorceress,UniversalPictures RothFilms,UnitedStatesofAmerica,Snow White and the Huntsman
81,AngelinaJolie ElleFanning SharltoCopley SamRiley,Fantasy Adventure Action Family Romance,fairytale villain sleepingbeauty darkfantasy basedonfairytale adaptation retelling literaryadaptation 3d,WaltDisneyPictures WaltDisneyStudiosMotionPictures RothFilms,UnitedStatesofAmerica,Maleficent
82,AndySerkis JasonClarke GaryOldman KeriRussell,ScienceFiction Action Drama Thriller,leader colony post-apocalyptic dystopia forest sequel woods ape scientist monkey medicalresearch animalattack plague 3d,IngeniousMedia CherninEntertainment TSGEntertainment,UnitedStatesofAmerica,Dawn of the Planet of the Apes
83,JoshHartnett SimoneKessell TamsinEgerton AliceEnglert,Action Adventure ScienceFiction Romance,,Corsan BlissMedia LimelightInternationalMediaEntertainment NeelmudraEntertainment AristosFilms SingularityProductions Wildkite,Australia Belgium India,The Lovers
84,KeanuReeves HiroyukiSanada KouShibasaki TadanobuAsano,Drama Action Adventure Fantasy,japan suicide samurai basedontruestory samuraisword ronin shogun halfbreed 3d,MidAtlanticFilms StuberProductions Universal MovingPictureCompany(MPC) H2FEntertainment,UnitedStatesofAmerica,47 Ronin
85,ChrisEvans SamuelL.Jackson ScarlettJohansson RobertRedford,Action Adventure ScienceFiction,washingtond.c. future shield marvelcomic superhero basedoncomicbook captainamerica aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d politicalthriller,MarvelStudios,UnitedStatesofAmerica,Captain America: The Winter Soldier
86,MikeMyers EddieMurphy CameronDiaz AntonioBanderas,Comedy Adventure Fantasy Animation Family,ogre 3d,DreamWorksAnimation,UnitedStatesofAmerica,Shrek Forever After
87,BrittRobertson GeorgeClooney RaffeyCassidy ThomasRobinson,Adventure Family Mystery ScienceFiction,inventor apocalypse destiny imax dreamer futuristiccar futuristiccity,WaltDisneyPictures Babieka A113,UnitedStatesofAmerica,Tomorrowland
88,ScottAdsit RyanPotter DanielHenney T.J.Miller,Adventure Family Animation Action Comedy,brotherbrotherrelationship hero talent revenge bestfriend anotherdimension robot boygenius hate aftercreditsstinger moraldilemma 3d teensuperheroes deadbrother,WaltDisneyPictures WaltDisneyAnimationStudios,UnitedStatesofAmerica,Big Hero 6
89,JohnC.Reilly SarahSilverman JackMcBrayer JaneLynch,Family Animation Comedy Adventure,supportgroup productplacement bullying racing arcade medal selfesteem curiosity precociouschild aftercreditsstinger duringcreditsstinger firstpersonshooter glitch carefree videogamer q*bert interruptedwedding socialreject,WaltDisneyAnimationStudios,UnitedStatesofAmerica,Wreck-It Ralph
90,TomHanks MichaelJeter NonaGaye PeterScolari,Adventure Animation Family Fantasy,santaclaus nerd faith gift bell beard northpole chute trestle ticket christmas,GoldenMean Playtone ImageMovers,UnitedStatesofAmerica,The Polar Express
91,LiamHemsworth JeffGoldblum BillPullman MaikaMonroe,Action Adventure ScienceFiction,alternatehistory alieninvasion,TwentiethCenturyFoxFilmCorporation CentropolisEntertainment TSGEntertainment StereoD,UnitedStatesofAmerica,Independence Day: Resurgence
92,JayBaruchel GerardButler CraigFerguson AmericaFerrera,Fantasy Adventure Animation Family,flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior,DreamWorksAnimation VertigoEntertainment MadHatterEntertainment,UnitedStatesofAmerica,How to Train Your Dragon
